order_id,user_id,shop_id,product_id,variant,quantity,unit_price,voucher_code,order_date
31,628,84,207,M-Red,4,449464,NONE,2024-09-21 00:11:00
32,1482,34,292,L-Black,5,385701,NONE,2024-05-06 07:39:00
33,273,16,313,M-Red,2,187204,NONE,2024-10-17 05:12:00
34,336,33,19,M-Red,3,301943,FLASH10,2024-07-25 19:40:00
35,1408,7,96,L-Black,3,195250,FLASH10,2024-07-01 00:28:00
36,1937,83,9,M-Black,2,114158,SALE20,2024-05-25 08:32:00
37,1427,84,249,M-Black,5,225279,FLASH10,2024-03-28 02:25:00
38,496,97,173,L-Black,5,420976,SALE20,2024-01-13 04:48:00
39,753,70,149,L-Red,3,205972,FLASH10,2024-05-07 09:55:00
40,635,93,481,M-Red,3,152394,SALE20,2024-03-01 04:44:00
41,907,10,317,L-Black,3,416720,FLASH10,2024-01-31 20:36:00
42,233,39,53,M-Red,5,322030,FLASH10,2024-09-03 15:33:00
43,429,84,469,L-Red,1,374629,NONE,2024-01-12 04:04:00
44,1863,68,103,L-Red,4,422762,FLASH10,2024-03-07 23:23:00
45,1514,31,408,M-Red,2,405144,SALE20,2024-03-02 05:22:00
46,1450,95,149,L-Black,1,159598,SALE20,2024-02-28 20:55:00
47,489,69,344,M-Red,4,208022,FLASH10,2024-07-21 05:24:00
48,1149,100,427,L-Black,3,380158,FLASH10,2024-09-01 09:34:00
49,1795,25,353,M-Black,3,410546,NONE,2024-03-15 04:09:00
50,591,73,375,L-Black,5,455878,SALE20,2024-12-03 21:29:00
51,477,99,151,L-Black,1,415985,SALE20,2024-02-21 05:41:00
52,938,61,180,L-Red,2,241280,FLASH10,2024-05-21 03:40:00
53,5,2,473,M-Red,1,265334,NONE,2024-07-24 19:55:00
54,1121,23,302,M-Red,1,353335,NONE,2024-06-23 07:40:00
55,375,51,214,M-Black,5,316911,SALE20,2024-07-13 23:40:00
56,912,83,82,M-Red,3,294213,NONE,2024-06-10 05:15:00
57,409,45,210,L-Red,4,146732,FLASH10,2024-12-03 10:40:00
58,1985,94,428,L-Red,5,130930,FLASH10,2024-10-07 14:23:00
59,988,28,199,M-Red,5,136594,FLASH10,2024-04-26 04:54:00
60,91,84,256,M-Black,4,245702,FLASH10,2024-06-19 22:14:00
61,508,59,362,M-Red,1,213992,NONE,2024-06-11 01:11:00
62,1366,6,316,L-Black,1,250592,FLASH10,2024-05-08 10:53:00
63,312,78,197,M-Black,4,171452,NONE,2024-01-08 00:36:00
64,1047,67,249,M-Red,3,299789,NONE,2024-11-27 17:11:00
65,460,67,41,M-Red,2,165409,FLASH10,2024-04-30 11:20:00
66,823,68,329,M-Black,4,454438,FLASH10,2024-05-19 06:51:00
67,166,92,159,L-Black,5,350641,NONE,2024-05-29 13:45:00
68,1551,2,276,M-Black,3,213887,SALE20,2024-10-14 07:09:00
69,1283,30,292,M-Black,1,415151,NONE,2024-10-29 23:28:00
70,262,47,225,L-Black,2,373814,FLASH10,2024-03-14 07:36:00
71,908,25,372,L-Black,1,311765,NONE,2024-05-15 21:37:00
72,1465,3,43,L-Black,2,264125,NONE,2024-02-27 03:05:00
73,67,89,345,L-Black,2,345822,NONE,2024-05-07 15:47:00
74,607,99,136,M-Black,2,427045,NONE,2024-10-18 07:21:00
75,1565,35,469,L-Red,1,154202,NONE,2024-03-05 23:27:00
76,444,18,499,L-Red,1,278506,SALE20,2024-05-29 10:37:00
77,1006,32,429,L-Black,5,439827,FLASH10,2024-08-12 23:56:00
78,801,13,425,M-Black,4,346463,SALE20,2024-04-03 04:21:00
79,1719,2,99,M-Red,3,475873,NONE,2024-02-09 18:39:00
80,570,74,328,M-Black,4,451547,SALE20,2024-02-21 21:31:00
81,1605,78,171,L-Red,3,418720,SALE20,2024-03-03 02:53:00
82,742,99,9,M-Black,1,165773,NONE,2024-08-07 03:18:00
83,1770,44,244,L-Black,1,448522,SALE20,2024-03-02 00:20:00
84,112,73,233,M-Black,1,468410,FLASH10,2024-03-13 07:54:00
85,499,20,15,M-Black,1,165495,SALE20,2024-05-25 10:00:00
86,922,53,58,L-Red,5,305665,FLASH10,2024-07-07 14:33:00
87,796,54,105,M-Red,2,486733,SALE20,2024-06-24 01:09:00
88,253,97,466,M-Black,1,187740,NONE,2024-08-13 01:35:00
89,586,73,476,L-Red,2,132595,FLASH10,2024-01-02 06:18:00
90,1615,37,285,M-Black,4,398387,NONE,2024-08-16 22:16:00
91,791,21,156,L-Black,1,150069,NONE,2024-11-16 17:16:00
92,1711,92,483,L-Black,4,148822,SALE20,2024-02-26 03:49:00
93,851,28,256,M-Red,3,193381,FLASH10,2024-06-09 23:01:00
94,227,62,179,M-Black,1,375885,NONE,2024-04-18 17:14:00
95,567,80,430,L-Black,1,298809,NONE,2024-02-25 16:15:00
96,227,23,218,M-Black,3,265361,FLASH10,2024-06-19 10:21:00
97,798,80,252,M-Black,1,122723,SALE20,2024-06-11 08:12:00
98,849,4,283,L-Black,5,485630,FLASH10,2024-12-06 14:11:00
99,1434,70,201,M-Red,4,272772,NONE,2024-01-25 05:24:00
100,1461,91,361,L-Black,2,308821,FLASH10,2024-10-10 12:18:00
101,1527,43,34,M-Black,1,441104,FLASH10,2024-04-28 03:39:00
102,634,20,425,M-Black,2,292912,SALE20,2024-08-12 07:42:00
103,620,41,276,L-Black,2,308813,SALE20,2024-08-25 20:29:00
104,1521,43,294,L-Black,5,233237,NONE,2024-01-21 18:37:00
105,850,68,224,M-Black,2,131306,NONE,2024-04-24 12:41:00
106,659,38,477,M-Red,2,200984,NONE,2024-06-28 20:14:00
107,1140,1,466,M-Black,4,434085,FLASH10,2024-01-27 22:04:00
108,1041,58,200,M-Black,1,154882,FLASH10,2024-03-29 07:07:00
109,719,40,183,M-Red,5,221444,NONE,2024-03-19 14:21:00
110,1469,72,473,L-Black,2,152791,FLASH10,2024-02-12 15:18:00
111,1256,65,433,L-Red,1,219206,NONE,2024-11-19 08:55:00
112,1451,81,298,M-Red,3,257082,FLASH10,2024-01-27 05:22:00
113,74,58,61,L-Black,1,125204,SALE20,2024-11-11 11:35:00
114,569,8,328,L-Red,3,302595,FLASH10,2024-01-13 17:15:00
115,1697,39,31,L-Black,4,251957,FLASH10,2024-03-19 14:10:00
116,410,50,195,L-Red,1,435807,FLASH10,2024-04-04 21:37:00
117,1123,60,194,M-Red,1,211463,FLASH10,2024-07-25 20:15:00
118,455,72,265,L-Black,4,308964,SALE20,2024-10-25 13:18:00
119,1644,9,43,L-Black,1,482680,NONE,2024-10-14 00:02:00
120,857,76,287,M-Red,4,420699,NONE,2024-02-23 07:00:00
121,940,43,415,M-Red,4,208336,NONE,2024-12-06 09:36:00
122,980,15,16,L-Black,2,426377,SALE20,2024-05-09 08:50:00
123,259,66,143,L-Black,4,453445,SALE20,2024-04-29 16:19:00
124,872,58,145,M-Black,5,282189,FLASH10,2024-06-12 08:32:00
125,686,81,421,M-Red,4,489652,SALE20,2024-03-24 19:48:00
126,1249,80,68,L-Black,2,136987,SALE20,2024-04-01 21:55:00
127,1330,48,416,L-Red,2,472581,FLASH10,2024-02-23 12:19:00
128,282,98,296,L-Black,3,129932,NONE,2024-06-10 01:10:00
129,46,94,489,M-Black,5,363644,FLASH10,2024-07-31 11:43:00
130,1651,1,194,L-Red,2,462791,FLASH10,2024-07-27 19:04:00
131,489,90,441,M-Red,2,179518,NONE,2024-09-26 05:41:00
132,93,46,198,M-Red,5,218773,NONE,2024-05-19 20:06:00
133,96,32,244,L-Black,4,402730,NONE,2024-11-02 09:52:00
134,1201,80,37,L-Black,2,208952,FLASH10,2024-06-02 12:58:00
135,1793,98,401,M-Black,5,420173,FLASH10,2024-02-29 21:24:00
136,281,48,464,M-Black,5,190601,FLASH10,2024-09-17 10:31:00
137,1199,73,168,M-Red,2,101674,FLASH10,2024-07-14 01:11:00
138,451,98,315,L-Black,4,473497,NONE,2024-05-16 10:53:00
139,1412,24,425,M-Black,4,245227,NONE,2024-01-28 21:08:00
140,206,71,28,L-Black,5,472454,NONE,2024-11-07 06:38:00
141,587,58,213,M-Red,1,389190,FLASH10,2024-02-25 23:36:00
142,1293,98,242,L-Black,3,240739,NONE,2024-02-17 21:46:00
143,913,13,216,M-Red,5,357246,FLASH10,2024-08-24 06:53:00
144,1035,70,497,M-Black,5,369189,NONE,2024-10-26 06:55:00
145,1799,44,219,M-Black,5,171244,SALE20,2024-06-07 04:35:00
146,1455,90,408,L-Red,2,391300,FLASH10,2024-01-25 08:19:00
147,1296,90,102,L-Red,2,114074,FLASH10,2024-02-15 09:00:00
148,480,68,336,L-Black,5,255782,NONE,2024-02-24 08:07:00
149,1737,54,75,L-Red,5,263433,SALE20,2024-09-08 19:57:00
150,1430,99,494,M-Black,1,197183,NONE,2024-10-07 08:40:00
151,1213,42,63,M-Red,2,277472,NONE,2024-06-28 15:50:00
152,1462,62,410,M-Red,5,350823,FLASH10,2024-08-14 04:44:00
153,335,82,413,L-Red,3,102696,FLASH10,2024-09-10 14:47:00
154,409,99,42,L-Red,2,363153,NONE,2024-08-26 12:49:00
155,1607,51,493,M-Black,5,272920,NONE,2024-11-05 11:27:00
156,984,22,154,L-Red,3,434079,SALE20,2024-06-23 06:34:00
157,414,69,32,L-Black,1,294276,SALE20,2024-06-23 21:51:00
158,540,76,422,M-Red,4,329510,SALE20,2024-05-24 08:01:00
159,975,1,269,M-Black,3,329930,NONE,2024-03-20 09:36:00
160,459,74,93,L-Red,3,142649,FLASH10,2024-02-23 00:27:00
161,805,11,134,L-Red,3,107464,NONE,2024-10-29 21:27:00
162,1495,3,42,M-Black,5,184474,FLASH10,2024-09-16 18:35:00
163,1505,25,330,M-Red,2,225028,SALE20,2024-08-17 08:50:00
164,1246,35,55,L-Black,5,294973,NONE,2024-07-03 23:57:00
165,1899,17,72,L-Black,1,187750,NONE,2024-11-01 11:45:00
166,1693,29,213,M-Red,2,250824,FLASH10,2024-06-16 23:33:00
167,1590,75,298,L-Black,1,394437,SALE20,2024-03-28 20:35:00
168,245,9,217,L-Black,1,421914,NONE,2024-04-16 19:19:00
169,1883,88,62,L-Black,2,272946,NONE,2024-09-02 14:12:00
170,520,40,193,L-Red,1,161222,NONE,2024-03-24 03:50:00
171,1951,16,55,L-Red,1,360435,FLASH10,2024-01-28 03:07:00
172,886,86,359,M-Black,1,234053,FLASH10,2024-11-18 08:33:00
173,407,43,406,M-Black,4,191920,NONE,2024-10-04 22:36:00
174,1734,67,80,L-Black,2,276864,NONE,2024-08-22 01:43:00
175,1339,40,371,M-Black,5,165421,SALE20,2024-07-27 00:54:00
176,1140,16,221,L-Red,5,170603,NONE,2024-02-26 23:46:00
177,1324,61,168,L-Red,2,160904,NONE,2024-07-09 07:25:00
178,1719,51,212,M-Black,1,104580,SALE20,2024-05-30 19:09:00
179,326,81,458,M-Red,2,353977,SALE20,2024-11-12 23:43:00
180,1103,72,94,M-Black,5,268378,FLASH10,2024-01-17 03:06:00
181,597,89,363,L-Red,2,115394,FLASH10,2024-07-18 12:14:00
182,1666,58,187,L-Red,2,128843,FLASH10,2024-05-12 12:15:00
183,1617,25,23,L-Black,3,498540,NONE,2024-09-28 22:04:00
184,556,69,97,M-Red,5,212870,FLASH10,2024-11-16 12:03:00
185,1405,7,306,M-Black,3,230344,NONE,2024-06-07 23:57:00
186,679,55,16,L-Red,1,174387,FLASH10,2024-09-29 06:33:00
187,897,36,431,L-Red,3,203438,SALE20,2024-11-11 16:56:00
188,53,14,222,L-Red,2,337504,FLASH10,2024-09-23 02:58:00
189,397,90,174,M-Black,4,409797,FLASH10,2024-04-28 02:09:00
190,98,3,304,M-Red,2,120885,NONE,2024-11-08 21:46:00
191,1503,53,207,M-Red,1,409907,NONE,2024-03-16 18:01:00
192,414,22,213,L-Red,3,474098,SALE20,2024-10-02 05:33:00
193,971,88,447,M-Red,1,197194,NONE,2024-10-03 14:52:00
194,1426,88,252,L-Black,4,376983,NONE,2024-05-19 08:15:00
195,1851,68,82,L-Red,1,277170,SALE20,2024-01-25 02:17:00
196,1275,40,73,M-Black,4,297391,NONE,2024-05-29 13:25:00
197,46,98,209,L-Black,5,485829,FLASH10,2024-02-07 01:44:00
198,1860,75,492,L-Black,5,212446,SALE20,2024-11-25 12:09:00
199,880,71,5,M-Red,2,328518,NONE,2024-10-12 00:21:00
200,1571,38,410,L-Black,4,409443,SALE20,2024-06-20 21:53:00
201,762,4,53,L-Black,3,465584,NONE,2024-12-04 16:19:00
202,1949,16,104,M-Black,2,455034,NONE,2024-05-04 06:00:00
203,45,28,199,L-Black,2,136020,NONE,2024-03-11 20:28:00
204,12,42,294,M-Black,3,154380,FLASH10,2024-08-09 20:52:00
205,1314,43,327,M-Black,2,425762,NONE,2024-01-03 07:41:00
206,799,13,90,M-Red,3,401104,SALE20,2024-02-24 02:19:00
207,1338,33,480,L-Red,5,218463,SALE20,2024-03-18 00:45:00
208,1243,45,176,L-Red,3,124531,FLASH10,2024-10-30 00:09:00
209,1327,61,45,M-Black,1,439679,FLASH10,2024-09-16 02:14:00
210,723,38,424,L-Red,2,358846,NONE,2024-02-09 20:40:00
211,1296,63,88,M-Red,4,168175,FLASH10,2024-01-06 00:38:00
212,26,85,319,M-Black,4,253530,NONE,2024-01-20 18:00:00
213,273,81,54,L-Black,4,122369,FLASH10,2024-04-26 13:06:00
214,63,77,166,L-Black,5,363974,NONE,2024-08-30 13:04:00
215,998,75,102,M-Red,2,447113,SALE20,2024-03-02 22:55:00
216,440,14,82,M-Black,3,249736,SALE20,2024-04-20 06:17:00
217,1511,20,85,L-Black,4,330822,NONE,2024-06-16 21:42:00
218,588,10,96,M-Red,4,415785,FLASH10,2024-07-25 19:04:00
219,392,57,101,M-Black,5,399554,SALE20,2024-08-04 13:47:00
220,966,7,357,L-Black,4,417629,SALE20,2024-01-29 22:30:00
221,9,2,127,M-Black,1,172637,SALE20,2024-02-08 06:12:00
222,342,61,312,L-Black,3,100900,SALE20,2024-07-30 11:55:00
223,1035,12,437,L-Red,4,231172,FLASH10,2024-09-03 19:13:00
224,1495,2,114,M-Red,3,247922,FLASH10,2024-08-20 23:42:00
225,1645,47,15,M-Red,2,126200,SALE20,2024-04-15 09:55:00
226,1130,86,335,M-Red,5,415916,SALE20,2024-08-23 17:54:00
227,1996,69,55,L-Black,1,119564,FLASH10,2024-11-09 17:07:00
228,346,12,145,M-Red,4,242624,FLASH10,2024-05-04 04:16:00
229,577,57,431,L-Black,1,141790,SALE20,2024-05-20 14:02:00
230,969,60,253,L-Black,1,305179,NONE,2024-10-21 01:08:00
231,402,36,309,L-Black,2,491565,SALE20,2024-03-01 07:42:00
232,1731,76,478,M-Black,3,196812,NONE,2024-12-06 01:40:00
233,1545,37,17,M-Black,1,405658,FLASH10,2024-02-04 05:09:00
234,597,94,480,L-Red,1,303156,SALE20,2024-08-14 07:12:00
235,1609,73,68,L-Black,4,270608,SALE20,2024-01-04 12:04:00
236,854,33,127,L-Red,5,346107,FLASH10,2024-07-29 10:00:00
237,299,75,439,L-Black,3,376257,FLASH10,2024-04-05 22:49:00
238,1703,11,252,M-Red,3,360544,FLASH10,2024-11-03 21:58:00
239,475,78,474,M-Red,2,374806,NONE,2024-04-10 15:30:00
240,1663,54,122,L-Red,4,439658,NONE,2024-09-07 13:10:00
241,1135,42,481,L-Red,4,237130,NONE,2024-05-09 07:27:00
242,1100,52,16,M-Black,3,384542,NONE,2024-01-10 02:44:00
243,482,4,382,M-Black,5,410330,FLASH10,2024-03-08 19:11:00
244,872,20,395,L-Red,3,447557,NONE,2024-09-12 11:03:00
245,1176,24,151,L-Black,3,121075,SALE20,2024-10-23 08:18:00
246,1906,42,387,L-Black,1,144605,FLASH10,2024-02-22 20:11:00
247,1084,2,197,M-Black,1,167802,FLASH10,2024-02-21 09:06:00
248,1899,10,316,M-Red,5,354400,SALE20,2024-06-05 02:21:00
249,1117,35,12,M-Red,2,400113,FLASH10,2024-01-25 06:34:00
250,406,86,380,L-Black,1,116673,FLASH10,2024-11-29 20:13:00
251,664,86,498,L-Black,5,497822,FLASH10,2024-05-15 22:30:00
252,1487,85,207,M-Black,2,199061,NONE,2024-06-01 11:24:00
253,1799,29,74,L-Red,2,460738,NONE,2024-07-04 23:01:00
254,405,2,296,L-Black,3,271512,SALE20,2024-03-31 21:29:00
255,1107,82,107,L-Red,5,460616,SALE20,2024-03-17 04:28:00
256,497,72,434,M-Red,2,329270,FLASH10,2024-01-22 13:26:00
257,1753,17,490,L-Black,5,395296,FLASH10,2024-03-18 03:47:00
258,496,92,309,L-Red,3,493014,SALE20,2024-03-02 20:59:00
259,259,74,181,M-Red,5,166383,NONE,2024-11-03 05:04:00
260,1654,65,178,L-Black,3,150421,NONE,2024-05-19 19:46:00
261,83,1,16,M-Black,2,452488,NONE,2024-08-21 15:16:00
262,1214,28,329,M-Red,1,316044,NONE,2024-11-08 12:07:00
263,832,51,211,L-Black,2,204799,FLASH10,2024-06-07 03:44:00
264,1389,43,213,L-Red,1,455726,NONE,2024-09-29 10:36:00
265,1756,97,201,L-Black,5,136461,SALE20,2024-02-28 20:07:00
266,1127,3,464,M-Red,3,153198,FLASH10,2024-04-26 22:04:00
267,1218,4,306,M-Black,3,357205,SALE20,2024-01-15 21:30:00
268,754,82,46,L-Black,3,270790,SALE20,2024-10-15 18:18:00
269,1960,60,342,M-Red,2,475797,NONE,2024-11-10 18:24:00
270,56,46,231,L-Black,3,188436,FLASH10,2024-09-29 08:54:00
271,547,64,403,L-Black,5,134087,SALE20,2024-03-20 09:10:00
272,1329,22,280,L-Black,3,400102,FLASH10,2024-06-21 03:36:00
273,1061,67,386,M-Red,1,364434,NONE,2024-06-26 14:32:00
274,1628,73,344,M-Black,4,209914,NONE,2024-11-01 16:04:00
275,978,56,354,M-Black,4,144139,SALE20,2024-01-01 01:19:00
276,1200,21,2,L-Black,1,306240,NONE,2024-05-30 20:07:00
277,1208,64,192,M-Black,4,172351,FLASH10,2024-09-26 09:42:00
278,1282,13,375,L-Black,5,323449,SALE20,2024-08-12 10:37:00
279,803,62,196,M-Red,2,240697,SALE20,2024-01-30 06:55:00
280,1347,13,71,L-Black,5,257912,NONE,2024-06-25 18:41:00
281,698,80,157,M-Black,4,161403,SALE20,2024-07-18 16:05:00
282,1466,2,149,L-Black,1,222052,SALE20,2024-10-13 08:46:00
283,1850,51,106,M-Black,5,450622,SALE20,2024-12-11 19:42:00
284,1011,35,7,L-Red,1,314351,SALE20,2024-04-10 10:29:00
285,1347,56,341,L-Red,4,123667,SALE20,2024-06-05 05:30:00
286,1779,12,384,M-Black,3,217077,NONE,2024-12-08 12:40:00
287,553,32,252,L-Red,5,382447,FLASH10,2024-04-04 18:19:00
288,1978,75,236,L-Black,3,327438,SALE20,2024-09-21 06:27:00
289,319,79,131,M-Black,5,178131,FLASH10,2024-05-22 03:49:00
290,1096,19,65,L-Red,5,492237,SALE20,2024-07-20 05:07:00
291,1222,37,173,M-Black,5,495535,NONE,2024-06-16 13:44:00
292,728,95,133,M-Red,5,485364,SALE20,2024-02-10 14:45:00
293,436,50,13,M-Black,5,140213,NONE,2024-01-04 20:01:00
294,825,43,139,L-Red,1,140903,NONE,2024-06-30 23:48:00
295,887,48,335,L-Red,2,219164,FLASH10,2024-09-07 09:54:00
296,1265,99,332,L-Red,3,185327,SALE20,2024-10-18 07:50:00
297,1133,91,204,L-Red,1,409711,FLASH10,2024-04-02 18:33:00
298,534,87,495,M-Black,1,373794,FLASH10,2024-01-06 19:54:00
299,1206,88,433,M-Red,5,146930,FLASH10,2024-03-01 21:01:00
300,468,39,162,L-Red,4,288219,NONE,2024-07-05 17:00:00
301,1698,48,188,M-Black,4,448475,NONE,2024-06-01 03:50:00
302,725,32,298,M-Red,3,468096,NONE,2024-11-14 14:33:00
303,1056,37,30,L-Red,5,229208,NONE,2024-04-09 04:51:00
304,816,2,374,L-Red,1,141399,NONE,2024-07-08 10:18:00
305,1997,90,436,M-Red,2,238555,NONE,2024-03-22 23:13:00
306,1661,64,468,L-Black,1,254451,SALE20,2024-09-10 05:18:00
307,1296,24,126,L-Black,4,176700,FLASH10,2024-08-06 19:27:00
308,999,21,244,L-Black,3,338662,NONE,2024-06-24 10:00:00
309,391,72,278,M-Black,2,311034,FLASH10,2024-07-10 04:57:00
310,1375,86,466,M-Black,4,487854,SALE20,2024-11-21 13:34:00
311,88,49,473,M-Red,3,390856,NONE,2024-12-03 16:46:00
312,421,71,74,L-Black,3,268439,FLASH10,2024-02-19 06:34:00
313,533,26,88,L-Red,4,357902,SALE20,2024-04-17 03:56:00
314,645,45,108,L-Red,2,238439,FLASH10,2024-06-27 15:32:00
315,1796,60,256,M-Red,4,396652,NONE,2024-09-18 00:32:00
316,923,41,360,L-Black,1,476636,NONE,2024-10-29 12:20:00
317,202,97,309,L-Black,1,414472,FLASH10,2024-08-20 23:57:00
318,1399,56,368,L-Black,4,154501,NONE,2024-05-03 03:08:00
319,1133,40,26,L-Black,3,257429,SALE20,2024-04-27 09:55:00
320,1740,48,53,M-Red,3,101875,FLASH10,2024-07-04 01:42:00
321,1201,6,241,L-Black,3,115553,FLASH10,2024-02-25 18:02:00
322,1002,71,98,M-Red,3,289990,FLASH10,2024-12-13 01:23:00
323,1789,11,406,L-Black,1,449437,SALE20,2024-03-01 19:51:00
324,969,69,464,M-Black,5,487743,NONE,2024-09-18 21:57:00
325,1411,70,49,M-Black,3,444419,FLASH10,2024-11-05 12:45:00
326,698,79,80,M-Black,2,233031,SALE20,2024-05-29 00:50:00
327,1216,87,203,M-Red,2,471260,SALE20,2024-10-23 14:03:00
328,1379,3,205,M-Black,1,282455,SALE20,2024-10-30 00:39:00
329,1349,17,493,M-Red,2,423762,NONE,2024-06-02 17:59:00
330,366,98,470,L-Black,2,295989,FLASH10,2024-01-07 22:44:00
331,1180,6,480,L-Red,3,130829,SALE20,2024-08-21 22:25:00
332,1970,81,163,M-Black,4,412987,SALE20,2024-03-13 21:27:00
333,1453,90,58,M-Red,5,157683,NONE,2024-10-27 00:03:00
334,405,16,83,M-Black,4,266400,NONE,2024-03-06 06:12:00
335,895,87,484,L-Black,2,294811,SALE20,2024-08-03 05:01:00
336,263,30,441,M-Black,2,182476,FLASH10,2024-03-10 14:20:00
337,162,36,427,L-Black,3,260675,FLASH10,2024-06-02 16:27:00
338,1445,63,74,L-Red,3,182929,NONE,2024-06-23 20:23:00
339,1429,7,58,M-Red,5,312602,SALE20,2024-06-15 05:57:00
340,422,60,128,M-Black,1,289888,SALE20,2024-04-30 02:24:00
341,1490,87,391,L-Red,4,113378,FLASH10,2024-02-09 05:01:00
342,1901,67,263,L-Red,3,286817,SALE20,2024-08-02 09:22:00
343,70,8,482,M-Black,5,338291,FLASH10,2024-08-23 04:33:00
344,1078,80,300,L-Red,3,343706,SALE20,2024-05-04 07:49:00
345,677,5,447,L-Black,2,337561,SALE20,2024-11-17 02:59:00
346,1630,92,407,L-Red,1,160584,NONE,2024-12-07 17:04:00
347,312,15,365,M-Black,1,493656,SALE20,2024-08-27 14:55:00
348,514,92,414,M-Black,1,308821,FLASH10,2024-10-03 07:35:00
349,857,82,300,L-Black,1,309060,NONE,2024-10-16 03:31:00
350,406,93,287,L-Black,5,447953,NONE,2024-05-25 07:32:00
351,1912,23,101,L-Red,1,322302,SALE20,2024-09-22 07:28:00
352,747,17,39,L-Red,2,104743,FLASH10,2024-06-05 11:23:00
353,1765,39,60,M-Red,3,191085,FLASH10,2024-03-12 18:37:00
354,1200,85,235,L-Red,2,257689,SALE20,2024-02-13 00:03:00
355,63,29,465,L-Black,5,499043,NONE,2024-02-17 15:53:00
356,370,26,278,L-Black,5,135659,SALE20,2024-05-11 23:49:00
357,884,87,415,M-Red,5,307949,NONE,2024-05-13 17:18:00
358,1141,56,5,L-Black,3,146498,SALE20,2024-04-07 22:22:00
359,1804,56,331,L-Black,1,125539,SALE20,2024-01-15 02:57:00
360,152,87,119,L-Red,1,131837,NONE,2024-06-10 06:48:00
361,1292,97,409,L-Black,1,194193,FLASH10,2024-11-28 11:42:00
362,1313,54,194,M-Red,4,267024,FLASH10,2024-11-04 22:47:00
363,1334,54,319,M-Red,1,194665,FLASH10,2024-05-02 23:03:00
364,557,46,300,M-Red,4,103122,NONE,2024-04-04 11:09:00
365,1064,22,164,M-Red,4,139699,FLASH10,2024-04-19 19:39:00
366,817,17,146,L-Black,4,309184,SALE20,2024-11-19 13:08:00
367,1078,18,478,M-Black,5,205232,NONE,2024-05-18 14:45:00
368,1306,10,28,L-Black,1,497120,SALE20,2024-09-17 18:24:00
369,558,91,476,L-Red,2,404162,SALE20,2024-04-03 21:08:00
370,65,99,102,M-Red,5,187406,NONE,2024-04-27 19:19:00
371,1278,9,482,M-Red,1,360265,FLASH10,2024-07-19 00:27:00
372,48,74,181,L-Black,1,304041,FLASH10,2024-06-24 11:14:00
373,688,40,263,M-Black,5,279540,FLASH10,2024-09-27 00:15:00
374,388,23,139,M-Red,1,161449,FLASH10,2024-06-12 21:46:00
375,1891,20,292,L-Black,3,219315,FLASH10,2024-02-27 19:39:00
376,91,4,273,L-Red,4,237184,NONE,2024-03-09 22:46:00
377,1598,98,20,L-Black,3,117576,SALE20,2024-05-20 17:38:00
378,477,97,129,L-Red,3,103125,FLASH10,2024-08-11 02:31:00
379,711,53,62,L-Red,5,142043,FLASH10,2024-05-10 20:59:00
380,351,51,257,M-Black,4,175896,NONE,2024-10-18 19:06:00
381,1415,64,246,M-Red,2,123806,NONE,2024-11-26 20:04:00
