id,user_id,total_amount,discount_amount,final_amount,status,created_at
36,20,301.16,56.95,244.21,PAID,2025-06-24 19:45:23
37,33,318.64,7.55,311.09,COMPLETED,2025-11-30 03:40:37
38,13,117.87,15.26,102.61,COMPLETED,2025-11-07 11:09:46
39,39,159.13,14.24,144.89,PAID,2024-08-08 18:00:34
40,33,65.89,8.21,57.68,PACKING,2024-03-21 11:38:32
41,31,104.27,20.60,83.67,COMPLETED,2025-09-09 08:09:52
42,23,212.49,20.21,192.28,SHIPPING,2024-08-17 21:12:13
43,6,64.71,3.43,61.28,CREATED,2024-10-26 16:11:23
44,28,178.93,23.94,154.99,SHIPPING,2024-06-14 22:00:56
45,32,80.45,15.70,64.75,PAID,2024-11-11 05:47:55
46,42,55.57,9.74,45.83,PAID,2024-05-01 12:05:01
47,23,237.98,8.96,229.02,PAID,2025-03-24 18:19:21
48,13,81.34,4.60,76.74,PACKING,2024-11-05 22:48:09
49,46,269.70,27.40,242.30,PACKING,2025-11-27 18:04:49
50,23,221.67,18.48,203.19,PAID,2025-08-11 14:19:55
51,39,141.72,34.26,107.46,PACKING,2024-10-06 08:02:25
52,19,49.29,10.46,38.83,COMPLETED,2026-01-03 04:54:28
53,30,220.86,50.10,170.76,CREATED,2024-02-11 01:35:38
54,30,169.60,34.40,135.20,COMPLETED,2024-04-02 12:57:40
55,19,241.89,7.47,234.42,SHIPPING,2024-08-27 20:27:01
56,32,179.09,24.41,154.68,PACKING,2025-02-27 04:13:58
57,50,162.85,4.06,158.79,CREATED,2024-07-19 12:54:40
58,35,337.46,5.18,332.28,SHIPPING,2025-07-13 22:29:43
59,20,19.71,1.14,18.57,COMPLETED,2025-08-16 04:41:07
60,30,219.28,16.93,202.35,PAID,2025-01-03 14:34:49
61,46,219.40,27.86,191.54,CREATED,2024-07-05 14:29:56
62,44,250.66,12.58,238.08,PACKING,2024-08-08 03:51:30
63,23,214.84,6.09,208.75,CREATED,2024-12-13 06:50:10
64,16,188.41,36.64,151.77,CREATED,2024-10-29 04:35:19
65,8,114.38,17.29,97.09,PACKING,2025-05-30 02:46:41
66,49,40.43,9.30,31.13,COMPLETED,2024-03-31 05:53:28
67,29,182.28,40.05,142.23,CREATED,2025-01-24 23:51:01
68,20,132.08,11.53,120.55,COMPLETED,2024-03-21 08:31:18
69,28,240.34,41.11,199.23,PAID,2025-02-25 14:16:34
70,44,62.48,13.88,48.60,PAID,2025-06-26 14:56:48
71,20,192.38,34.34,158.04,PACKING,2025-04-22 14:06:09
72,16,197.48,6.02,191.46,COMPLETED,2024-02-01 12:56:48
73,7,184.16,2.30,181.86,SHIPPING,2024-11-04 22:54:52
74,25,338.60,11.60,327.00,PACKING,2026-01-19 03:12:50
75,23,201.27,21.45,179.82,PACKING,2024-06-15 16:08:33
76,12,20.55,4.75,15.80,COMPLETED,2025-12-23 15:07:29
77,38,299.92,61.89,238.03,SHIPPING,2025-12-19 18:13:08
78,2,119.93,6.97,112.96,COMPLETED,2025-03-05 03:31:05
79,30,268.64,26.28,242.36,COMPLETED,2025-04-23 23:17:07
80,16,170.75,25.67,145.08,CREATED,2025-03-05 02:40:21
81,35,90.90,5.36,85.54,COMPLETED,2024-04-02 11:06:59
82,23,167.39,17.97,149.42,PACKING,2025-01-23 10:09:19
83,46,186.25,44.51,141.74,SHIPPING,2025-12-04 01:34:44
84,43,331.96,65.26,266.70,CREATED,2025-03-13 06:16:41
85,23,170.98,39.13,131.85,COMPLETED,2025-05-22 22:31:39
86,46,199.10,34.38,164.72,PACKING,2025-10-03 05:39:25
87,40,226.59,1.69,224.90,PAID,2025-03-26 04:30:02
88,19,221.90,51.91,169.99,SHIPPING,2024-08-15 02:30:44
89,41,230.42,8.02,222.40,SHIPPING,2025-05-23 14:10:28
90,45,36.84,3.06,33.78,CREATED,2025-06-29 11:16:59
91,17,187.38,13.39,173.99,SHIPPING,2024-12-22 14:49:57
92,18,315.56,43.69,271.87,SHIPPING,2025-07-22 10:36:21
93,44,214.99,45.58,169.41,COMPLETED,2025-10-29 20:45:33
94,25,279.24,12.95,266.29,CREATED,2025-11-19 18:06:15
95,39,147.27,17.91,129.36,COMPLETED,2025-06-04 01:14:36
96,1,36.21,2.15,34.06,PAID,2024-02-05 07:57:17
97,49,44.82,3.54,41.28,SHIPPING,2024-09-13 11:18:27
98,34,308.83,45.12,263.71,PACKING,2024-05-01 00:33:38
99,19,37.14,5.15,31.99,PACKING,2024-01-24 17:38:38
100,8,145.11,9.81,135.30,CREATED,2024-04-02 00:43:35
101,15,164.08,7.22,156.86,PAID,2025-10-01 14:17:52
102,37,239.50,6.17,233.33,PAID,2024-01-29 10:35:08
103,27,233.24,47.73,185.51,CREATED,2025-06-16 07:30:01
104,33,265.90,45.67,220.23,CREATED,2024-04-11 06:47:01
105,2,237.78,55.52,182.26,CREATED,2025-08-14 01:46:54
106,49,191.16,14.04,177.12,PAID,2025-03-02 09:30:53
107,25,211.69,22.23,189.46,PACKING,2024-01-20 14:27:50
108,23,43.52,9.61,33.91,SHIPPING,2025-02-12 04:45:51
109,35,200.00,17.29,182.71,PACKING,2024-10-15 13:00:47
110,31,30.33,1.39,28.94,PAID,2024-10-02 08:51:50
111,22,216.20,43.20,173.00,PACKING,2024-10-01 20:31:00
112,5,282.38,46.72,235.66,COMPLETED,2024-01-12 11:46:47
113,4,274.64,23.37,251.27,CREATED,2025-02-04 17:58:04
114,49,227.69,44.07,183.62,COMPLETED,2024-01-11 09:34:08
115,19,61.70,7.81,53.89,PACKING,2024-10-23 20:28:44
116,34,240.43,2.04,238.39,PACKING,2025-09-16 04:53:39
117,12,73.16,5.97,67.19,SHIPPING,2025-08-25 00:18:13
118,12,42.72,6.39,36.33,PAID,2024-03-12 00:03:15
119,13,246.79,35.58,211.21,CREATED,2024-09-20 18:04:59
120,5,78.12,6.28,71.84,COMPLETED,2024-03-07 06:20:37
121,46,13.77,3.35,10.42,COMPLETED,2025-12-06 22:28:17
122,1,302.70,53.26,249.44,PAID,2024-06-11 10:13:24
123,26,200.44,3.02,197.42,SHIPPING,2024-08-18 15:56:16
124,41,59.32,3.89,55.43,SHIPPING,2026-01-19 16:40:00
125,8,269.99,62.04,207.95,SHIPPING,2025-07-08 17:37:21
126,8,227.51,29.13,198.38,PACKING,2024-10-26 08:22:39
127,34,341.62,40.28,301.34,PAID,2024-12-29 07:32:58
128,8,136.84,18.86,117.98,PACKING,2025-03-09 21:07:21
129,35,344.39,72.12,272.27,SHIPPING,2025-07-03 10:45:49
130,5,166.15,15.56,150.59,PAID,2025-05-11 10:42:41
131,6,201.79,17.59,184.20,SHIPPING,2025-09-18 07:18:55
132,40,125.58,13.15,112.43,SHIPPING,2025-02-03 00:02:56
133,13,194.79,33.96,160.83,COMPLETED,2024-04-09 06:05:45
134,46,67.56,14.32,53.24,CREATED,2025-02-06 09:38:29
135,33,63.22,12.77,50.45,PACKING,2026-01-30 22:12:16
136,22,301.07,5.35,295.72,PACKING,2025-07-18 04:18:24
137,29,126.98,21.44,105.54,COMPLETED,2024-07-15 20:06:27
138,8,41.77,2.33,39.44,CREATED,2025-04-11 02:40:38
139,29,205.17,36.19,168.98,SHIPPING,2024-03-01 00:05:54
140,48,76.13,0.93,75.20,PACKING,2024-01-16 13:49:12
141,26,182.00,28.94,153.06,SHIPPING,2025-03-01 01:37:11
142,42,167.84,13.60,154.24,CREATED,2025-06-09 12:06:19
143,34,291.72,71.82,219.90,PAID,2025-08-04 04:55:08
144,2,301.32,44.69,256.63,COMPLETED,2025-11-02 16:13:22
145,14,98.84,7.07,91.77,PAID,2024-06-25 08:18:08
146,39,248.35,38.97,209.38,PAID,2025-08-15 04:35:20
147,22,157.84,9.33,148.51,PACKING,2024-08-21 10:30:13
148,28,176.12,29.58,146.54,COMPLETED,2024-02-24 04:23:45
149,39,232.35,7.65,224.70,COMPLETED,2025-03-26 15:27:05
150,21,28.50,3.97,24.53,PACKING,2024-02-18 05:29:28
151,34,120.19,2.76,117.43,PACKING,2025-04-07 11:22:14
152,2,24.08,5.42,18.66,PAID,2025-08-02 08:55:00
153,32,177.94,16.74,161.20,PACKING,2025-01-17 19:27:43
154,50,176.69,17.17,159.52,SHIPPING,2025-09-26 02:57:45
155,39,317.50,73.83,243.67,COMPLETED,2024-01-28 10:43:56
156,29,94.59,13.94,80.65,COMPLETED,2024-05-05 20:09:11
157,12,241.05,45.80,195.25,COMPLETED,2024-05-17 18:34:53
158,36,75.03,9.81,65.22,SHIPPING,2025-12-13 06:18:12
159,32,257.51,6.95,250.56,PACKING,2024-12-28 06:52:29
160,3,34.66,0.52,34.14,PACKING,2025-08-20 13:18:19
161,4,12.26,0.72,11.54,CREATED,2025-01-09 14:45:07
162,33,152.89,14.92,137.97,SHIPPING,2024-01-16 16:27:20
163,11,255.79,29.93,225.86,COMPLETED,2025-09-19 18:18:13
164,33,225.59,0.38,225.21,CREATED,2025-11-21 02:53:59
165,34,139.23,18.01,121.22,CREATED,2025-10-30 17:05:30
166,6,279.16,69.78,209.38,SHIPPING,2026-01-29 23:41:38
167,1,101.77,1.25,100.52,SHIPPING,2025-02-14 10:32:06
168,38,292.50,2.10,290.40,PACKING,2024-11-23 18:09:43
169,47,274.11,34.61,239.50,CREATED,2025-09-07 19:59:15
170,9,329.62,25.13,304.49,COMPLETED,2025-12-29 13:02:07
171,44,244.69,12.01,232.68,CREATED,2024-10-05 13:00:45
172,45,315.61,25.74,289.87,SHIPPING,2025-01-31 23:40:21
173,25,215.16,42.55,172.61,PAID,2024-11-28 18:41:57
174,17,138.16,29.85,108.31,COMPLETED,2025-05-13 12:08:02
175,33,57.61,2.78,54.83,COMPLETED,2024-01-11 10:44:42
176,33,46.87,1.62,45.25,PAID,2024-12-22 15:14:44
177,42,308.36,74.14,234.22,SHIPPING,2025-10-31 15:23:40
178,25,251.92,34.79,217.13,PACKING,2024-11-09 13:51:36
179,22,310.09,63.21,246.88,SHIPPING,2025-09-08 19:10:39
180,28,57.05,6.27,50.78,PACKING,2025-01-27 14:50:32
181,47,239.45,7.47,231.98,SHIPPING,2024-04-24 17:47:00
182,36,230.25,47.67,182.58,PACKING,2025-04-10 12:17:30
183,5,348.34,35.71,312.63,PACKING,2024-11-16 21:14:08
184,33,334.59,15.11,319.48,SHIPPING,2025-03-31 13:21:52
185,46,254.38,23.19,231.19,CREATED,2024-11-07 14:57:32
186,25,128.05,16.87,111.18,PACKING,2025-11-20 23:47:50
187,39,40.15,3.73,36.42,COMPLETED,2024-05-02 16:15:26
188,43,303.36,27.27,276.09,CREATED,2024-05-25 18:52:41
189,26,55.92,9.97,45.95,CREATED,2025-06-25 04:14:29
190,33,84.99,20.43,64.56,PACKING,2024-07-07 23:27:23
191,41,164.54,33.70,130.84,CREATED,2024-01-25 11:09:24
192,34,257.82,56.20,201.62,CREATED,2024-01-08 15:52:17
193,7,16.78,3.73,13.05,PACKING,2024-01-04 02:22:20
194,2,192.42,34.09,158.33,PAID,2025-04-02 02:38:35
195,32,153.29,9.04,144.25,PACKING,2026-01-11 16:33:06
196,8,216.95,10.84,206.11,PAID,2025-05-19 21:48:55
197,14,329.46,17.70,311.76,PACKING,2025-08-14 17:50:38
198,4,157.07,21.05,136.02,CREATED,2025-10-15 10:35:12
199,29,171.24,7.48,163.76,COMPLETED,2024-06-14 09:30:40
200,16,170.07,2.49,167.58,PACKING,2024-11-12 13:52:04
201,30,322.12,62.73,259.39,CREATED,2025-03-28 15:58:49
202,3,333.31,67.45,265.86,CREATED,2024-05-05 22:54:43
203,48,252.17,34.01,218.16,PACKING,2025-11-02 16:30:04
204,20,254.22,42.94,211.28,CREATED,2024-12-19 13:24:44
205,33,250.74,4.15,246.59,CREATED,2024-06-20 07:26:54
206,19,285.81,0.64,285.17,PAID,2024-04-02 12:13:44
207,41,96.34,14.32,82.02,COMPLETED,2025-02-17 14:22:51
208,35,229.77,18.95,210.82,CREATED,2024-06-26 10:57:20
209,31,261.35,16.89,244.46,COMPLETED,2024-04-27 00:10:33
210,33,235.52,22.87,212.65,PACKING,2024-03-27 01:55:12
211,50,123.64,14.13,109.51,PACKING,2024-10-12 10:11:22
212,47,72.90,14.51,58.39,CREATED,2025-03-27 00:21:49
213,20,327.39,41.04,286.35,PACKING,2024-01-01 01:18:48
214,42,107.34,8.81,98.53,PACKING,2024-11-17 06:29:38
215,21,287.11,27.67,259.44,PAID,2025-11-24 19:42:56
216,41,37.55,7.19,30.36,PACKING,2025-09-20 14:07:45
217,47,48.58,0.60,47.98,PACKING,2025-01-27 14:24:39
218,5,19.23,2.58,16.65,CREATED,2025-02-25 16:18:00
219,10,326.73,21.68,305.05,COMPLETED,2024-06-20 17:11:55
220,1,320.89,7.09,313.80,CREATED,2025-04-14 21:45:16
221,27,150.21,3.78,146.43,SHIPPING,2025-09-06 12:08:59
222,22,334.74,64.25,270.49,SHIPPING,2025-07-29 23:02:27
223,11,66.96,6.92,60.04,PAID,2026-01-01 05:51:00
224,22,191.77,19.34,172.43,SHIPPING,2024-11-20 01:23:06
225,34,61.66,5.84,55.82,PAID,2024-08-30 06:07:47
226,39,150.02,9.49,140.53,SHIPPING,2025-06-04 15:02:35
227,38,274.94,5.93,269.01,CREATED,2025-09-27 23:57:29
228,44,272.86,25.08,247.78,PAID,2025-03-25 00:00:09
229,40,305.73,21.84,283.89,CREATED,2026-01-17 11:10:57
230,34,136.21,24.92,111.29,SHIPPING,2025-02-20 04:11:56
231,32,306.25,51.73,254.52,CREATED,2024-05-22 07:07:29
232,42,138.87,18.19,120.68,CREATED,2024-01-22 00:42:03
233,8,21.64,4.09,17.55,PACKING,2024-09-27 10:48:27
234,6,116.59,8.00,108.59,CREATED,2024-06-08 06:39:48
235,7,225.70,25.06,200.64,SHIPPING,2024-06-21 01:26:12
236,24,31.16,6.56,24.60,COMPLETED,2024-03-01 00:49:32
237,23,277.72,66.72,211.00,PACKING,2025-06-12 22:26:09
238,43,76.12,16.42,59.70,COMPLETED,2025-01-28 13:28:10
239,40,222.39,22.88,199.51,SHIPPING,2025-11-21 21:41:24
240,32,331.56,40.96,290.60,COMPLETED,2025-06-21 07:38:29
241,38,249.96,16.07,233.89,COMPLETED,2025-08-18 07:47:25
242,39,80.49,4.34,76.15,PAID,2026-01-27 22:17:12
243,24,202.02,45.11,156.91,CREATED,2024-02-01 13:48:21
244,29,49.55,0.28,49.27,PACKING,2024-01-12 21:44:14
245,37,334.65,69.67,264.98,CREATED,2024-02-14 20:12:24
246,3,79.10,15.22,63.88,SHIPPING,2025-07-27 10:01:32
247,11,76.27,11.80,64.47,SHIPPING,2025-12-21 23:42:27
248,21,109.11,19.38,89.73,SHIPPING,2024-12-05 22:43:39
249,1,174.30,18.18,156.12,SHIPPING,2025-09-07 06:25:57
250,17,118.97,12.35,106.62,CREATED,2024-08-27 16:25:00
251,31,182.21,25.18,157.03,COMPLETED,2025-04-08 00:44:26
252,4,307.42,34.18,273.24,SHIPPING,2024-12-27 03:48:57
253,15,64.14,14.17,49.97,CREATED,2024-08-28 02:23:37
254,45,177.07,33.31,143.76,PACKING,2025-12-17 01:55:47
255,49,168.83,35.40,133.43,PAID,2025-10-15 12:51:49
256,6,213.94,21.08,192.86,PACKING,2026-01-14 06:52:02
257,50,259.66,50.40,209.26,COMPLETED,2024-08-06 04:48:41
258,11,334.59,30.47,304.12,PACKING,2024-09-27 21:00:57
259,44,23.89,2.36,21.53,PACKING,2025-10-07 08:42:11
260,47,43.71,3.49,40.22,COMPLETED,2025-09-01 07:00:40
261,28,55.13,0.96,54.17,PACKING,2025-07-28 15:59:57
262,34,287.43,53.62,233.81,CREATED,2025-07-07 07:32:04
263,9,278.68,43.74,234.94,CREATED,2025-09-17 15:23:30
264,5,27.17,1.50,25.67,PACKING,2025-07-15 01:39:26
265,40,142.83,10.31,132.52,CREATED,2025-04-25 21:45:10
266,33,191.29,8.69,182.60,PACKING,2025-01-17 11:36:36
267,48,172.86,13.29,159.57,CREATED,2025-11-29 14:10:54
268,34,18.60,1.48,17.12,PAID,2026-01-21 14:01:35
269,8,254.34,17.87,236.47,CREATED,2024-04-10 17:47:47
270,34,36.52,2.87,33.65,COMPLETED,2024-12-25 12:23:32
271,15,253.95,48.26,205.69,PAID,2025-10-12 08:23:30
272,14,171.01,19.52,151.49,COMPLETED,2024-10-09 19:20:04
273,44,12.03,0.97,11.06,SHIPPING,2024-11-20 05:38:01
274,22,339.98,80.94,259.04,SHIPPING,2024-10-20 21:48:45
275,37,194.44,33.01,161.43,COMPLETED,2024-04-26 05:41:12
276,13,293.64,17.29,276.35,COMPLETED,2025-03-08 00:47:53
277,27,288.31,45.34,242.97,COMPLETED,2026-02-01 23:02:50
278,19,120.45,2.25,118.20,PAID,2024-06-29 06:34:02
279,38,279.03,36.12,242.91,SHIPPING,2024-01-29 01:01:29
280,36,136.26,19.50,116.76,COMPLETED,2025-06-30 21:22:24
281,13,94.83,9.32,85.51,COMPLETED,2025-01-01 06:38:28
282,42,167.99,9.63,158.36,CREATED,2025-12-28 13:24:30
283,36,124.57,20.55,104.02,SHIPPING,2025-07-15 17:47:18
284,26,264.04,10.05,253.99,PACKING,2024-09-21 16:10:07
285,38,242.59,29.83,212.76,PACKING,2025-01-20 13:05:44
286,2,215.17,41.06,174.11,COMPLETED,2024-11-17 15:39:51
287,45,16.84,2.31,14.53,PACKING,2025-10-18 07:45:59
288,42,271.32,4.48,266.84,PAID,2024-05-18 20:54:49
289,44,129.51,19.72,109.79,SHIPPING,2025-11-29 09:44:42
290,1,134.14,4.88,129.26,COMPLETED,2025-08-13 04:41:05
291,16,225.33,44.11,181.22,PAID,2025-09-09 11:57:11
292,29,15.09,3.53,11.56,PACKING,2024-10-26 05:41:32
293,41,74.39,6.78,67.61,COMPLETED,2025-01-22 05:20:05
294,7,110.31,14.77,95.54,PACKING,2025-09-19 07:21:48
295,50,273.25,58.21,215.04,SHIPPING,2025-10-07 04:55:57
296,33,215.74,31.21,184.53,CREATED,2025-08-05 20:03:15
297,27,91.88,1.94,89.94,SHIPPING,2024-12-15 04:37:25
298,21,79.49,14.17,65.32,CREATED,2024-05-13 23:32:41
299,39,260.86,29.22,231.64,COMPLETED,2024-05-16 20:29:13
300,2,339.08,9.18,329.90,COMPLETED,2025-10-13 06:37:27
301,17,313.80,51.07,262.73,SHIPPING,2024-12-05 07:38:50
302,26,245.13,51.32,193.81,PACKING,2025-12-14 23:15:39
303,20,279.06,68.16,210.90,COMPLETED,2024-07-29 02:08:58
304,31,242.91,32.12,210.79,COMPLETED,2024-05-15 05:04:15
305,1,145.79,15.60,130.19,SHIPPING,2024-05-25 23:26:17
306,43,232.46,20.96,211.50,PACKING,2025-09-05 20:47:03
307,48,158.32,16.99,141.33,PAID,2024-02-04 04:00:39
308,22,48.62,6.13,42.49,CREATED,2024-09-03 08:11:14
309,34,316.02,70.14,245.88,SHIPPING,2025-08-31 23:12:26
310,2,39.20,6.09,33.11,CREATED,2025-03-19 21:15:13
311,26,273.65,3.62,270.03,PAID,2025-11-22 23:21:07
312,39,180.25,43.65,136.60,PAID,2025-08-28 14:50:24
313,13,147.42,17.10,130.32,PACKING,2024-10-03 02:09:36
314,49,66.37,8.99,57.38,COMPLETED,2024-11-21 05:59:15
315,19,216.49,33.92,182.57,PAID,2024-09-13 09:17:23
316,14,191.60,26.28,165.32,COMPLETED,2025-02-17 10:30:07
317,14,334.73,81.57,253.16,PACKING,2025-05-19 12:45:13
318,25,285.20,37.32,247.88,SHIPPING,2024-09-30 19:44:03
319,45,57.15,5.15,52.00,COMPLETED,2026-01-06 18:10:06
320,27,283.42,11.56,271.86,PACKING,2024-12-15 18:13:28
321,20,341.47,6.70,334.77,CREATED,2025-01-04 04:49:43
322,40,145.32,7.29,138.03,COMPLETED,2024-02-21 00:43:12
323,35,100.36,10.29,90.07,SHIPPING,2025-10-03 17:03:19
324,16,60.99,8.67,52.32,PACKING,2024-08-02 18:39:42
325,38,187.72,33.86,153.86,CREATED,2024-11-20 16:28:12
326,39,246.43,0.98,245.45,COMPLETED,2026-01-12 07:52:00
327,33,18.82,3.85,14.97,SHIPPING,2024-04-10 12:36:36
328,37,168.17,29.19,138.98,PACKING,2025-10-17 17:20:25
329,35,30.44,5.21,25.23,SHIPPING,2024-02-28 16:27:21
330,47,35.51,2.58,32.93,COMPLETED,2025-01-08 05:58:58
331,2,285.34,56.88,228.46,PAID,2024-12-28 03:10:24
332,33,313.04,50.10,262.94,CREATED,2024-05-11 12:48:07
333,31,272.10,56.45,215.65,COMPLETED,2025-02-02 06:32:00
334,38,286.53,52.56,233.97,SHIPPING,2024-03-14 10:29:59
335,8,138.53,2.83,135.70,CREATED,2026-01-05 10:25:47
336,49,75.01,16.58,58.43,PAID,2024-12-18 07:23:16
337,33,220.71,46.94,173.77,PAID,2024-09-27 18:40:05
338,44,331.16,28.34,302.82,COMPLETED,2025-11-20 14:10:40
339,42,325.83,59.28,266.55,SHIPPING,2024-07-14 09:52:31
340,6,332.05,1.49,330.56,CREATED,2024-04-21 20:10:48
341,2,169.95,27.21,142.74,CREATED,2025-12-27 21:04:54
342,34,78.15,4.53,73.62,COMPLETED,2024-10-31 00:03:57
343,31,156.51,3.03,153.48,PAID,2024-08-31 05:15:54
344,19,179.09,29.37,149.72,COMPLETED,2026-01-22 21:19:57
345,50,260.61,31.15,229.46,PAID,2024-02-10 07:45:55
346,18,229.55,1.09,228.46,SHIPPING,2025-03-08 18:23:24
347,19,11.65,2.01,9.64,SHIPPING,2024-08-23 00:11:20
348,32,277.51,2.68,274.83,CREATED,2024-11-28 03:48:56
349,8,189.52,4.46,185.06,PAID,2024-11-04 23:52:29
350,22,22.13,0.03,22.10,PAID,2026-01-21 00:29:45
351,19,306.76,27.11,279.65,PACKING,2025-07-14 10:09:05
352,47,67.15,12.65,54.50,CREATED,2024-09-26 15:17:25
353,45,237.57,44.79,192.78,CREATED,2025-05-14 03:47:06
354,28,96.14,8.67,87.47,SHIPPING,2024-07-21 08:12:16
355,10,318.93,70.11,248.82,PACKING,2025-03-05 16:19:30
356,5,80.31,11.24,69.07,PAID,2025-07-30 14:39:45
357,14,153.01,32.69,120.32,SHIPPING,2024-12-12 02:58:32
358,24,266.37,10.21,256.16,SHIPPING,2026-01-29 07:56:46
359,32,149.88,19.82,130.06,PACKING,2026-01-08 06:11:17
360,38,93.71,21.01,72.70,CREATED,2026-01-16 05:19:57
361,1,99.95,0.46,99.49,PACKING,2025-05-05 03:16:21
362,19,236.13,14.30,221.83,SHIPPING,2025-09-07 07:21:59
363,32,236.79,8.70,228.09,SHIPPING,2024-12-22 00:45:37
364,2,342.71,6.64,336.07,PAID,2025-08-06 11:47:36
365,21,91.29,0.84,90.45,CREATED,2025-06-07 22:20:37
366,15,312.43,9.33,303.10,SHIPPING,2024-05-06 04:34:12
367,42,95.79,16.37,79.42,PACKING,2024-12-13 14:29:43
368,5,78.83,2.87,75.96,CREATED,2024-04-01 12:15:40
369,26,263.04,17.05,245.99,SHIPPING,2025-10-02 02:44:22
370,20,79.49,11.22,68.27,PAID,2025-11-09 18:11:39
371,28,264.02,57.74,206.28,SHIPPING,2024-03-01 17:40:22
372,29,106.20,3.08,103.12,CREATED,2024-06-21 18:46:46
373,9,132.60,7.13,125.47,CREATED,2025-06-17 10:27:09
374,46,105.12,0.61,104.51,COMPLETED,2024-06-02 05:30:41
375,13,217.08,12.48,204.60,COMPLETED,2025-03-13 16:27:57
376,47,112.02,7.64,104.38,SHIPPING,2024-09-27 15:34:43
377,50,21.00,4.64,16.36,SHIPPING,2024-10-23 12:33:09
378,12,335.05,36.07,298.98,SHIPPING,2025-09-03 12:29:29
379,9,103.02,8.56,94.46,COMPLETED,2024-06-22 05:17:50
380,11,193.68,23.52,170.16,COMPLETED,2024-05-14 14:08:40
381,24,34.72,8.00,26.72,PACKING,2024-04-12 12:00:58
382,25,39.87,9.62,30.25,PAID,2025-09-05 14:55:12
383,26,31.12,0.20,30.92,SHIPPING,2024-04-01 17:58:54
384,19,169.69,18.06,151.63,PACKING,2025-03-12 14:57:15
385,19,156.22,21.06,135.16,SHIPPING,2025-06-29 23:34:41
386,6,215.62,34.14,181.48,PAID,2025-12-02 04:31:09
387,48,321.81,56.92,264.89,COMPLETED,2024-05-10 02:53:24
388,43,140.90,25.74,115.16,CREATED,2025-07-14 01:09:54
389,47,285.68,34.53,251.15,CREATED,2024-07-13 21:47:25
390,22,111.44,10.99,100.45,PAID,2025-08-11 11:10:05
391,10,301.28,72.29,228.99,COMPLETED,2024-05-15 04:50:22
392,43,264.51,16.15,248.36,PACKING,2024-12-10 00:53:14
393,14,80.87,1.94,78.93,SHIPPING,2025-04-01 00:11:28
394,19,249.70,1.59,248.11,SHIPPING,2025-03-22 08:42:19
395,24,302.18,17.10,285.08,SHIPPING,2024-11-05 15:08:05
396,46,169.61,37.54,132.07,PAID,2024-05-20 14:31:22
397,32,220.46,1.48,218.98,CREATED,2024-06-09 11:11:49
398,34,178.77,23.28,155.49,COMPLETED,2025-04-04 10:45:43
399,15,231.93,55.16,176.77,SHIPPING,2025-11-28 12:59:09
400,48,177.69,0.75,176.94,SHIPPING,2025-08-13 17:25:25
401,41,144.70,8.81,135.89,COMPLETED,2025-05-13 07:09:29
402,50,332.75,67.89,264.86,PACKING,2025-09-26 22:01:31
