id,order_id,variant_id,quantity,unit_price
89,58,386,5,235.37
90,1740,50,4,21
91,212,331,2,28.04
92,158,21,3,197
93,252,184,4,187.08
94,942,237,2,135.53
95,1287,78,2,119.86
96,1853,286,4,112.95
97,478,374,2,45.52
98,1329,45,3,125.63
99,1135,455,5,183.96
100,578,465,5,165.34
101,623,252,1,65.99
102,407,482,2,128.85
103,628,202,2,182.83
104,1937,74,3,86.91
105,1285,173,4,214.37
106,931,310,2,180.45
107,1839,408,1,54.06
108,731,366,5,236.73
109,1619,237,1,135.53
110,337,554,5,135.66
111,258,466,5,35.22
112,305,290,4,42.8
113,514,345,3,86.95
114,386,4,2,70.25
115,1284,264,2,170.77
116,1904,7,1,192.11
117,583,38,4,133.35
118,1543,228,5,217.27
119,1237,113,1,138.62
120,1938,154,2,59.41
121,893,183,1,164.88
122,902,161,2,8.72
123,915,329,1,142.08
124,1449,515,3,86.3
125,262,294,5,194.88
126,1069,557,5,214.74
127,233,54,2,147.09
128,471,464,4,7.05
129,1925,527,3,41.86
130,1918,115,3,226.48
131,1311,155,3,188.9
132,236,430,3,210.25
133,1874,19,1,104.09
134,377,380,5,189.1
135,326,59,3,8.03
136,61,44,1,54.1
137,63,268,2,230.32
138,1476,299,4,244.63
139,1203,512,3,181.18
140,359,92,2,48.51
141,1610,360,1,243.58
142,738,379,2,18.29
143,776,199,4,10.35
144,1259,459,3,150.38
145,478,81,2,178.78
146,181,98,2,176.81
147,758,320,5,208
148,1203,84,1,78.24
149,1140,370,2,94.05
150,1658,291,3,118.79
151,1466,128,2,104.71
152,951,417,2,105.27
153,1711,140,2,154.37
154,149,82,4,223.97
155,1169,391,2,112.06
156,525,250,3,66.45
157,1823,524,5,36.66
158,241,491,4,142.78
159,931,112,3,81.23
160,1817,494,4,196.25
161,683,218,5,68.19
162,666,154,3,59.41
163,93,201,5,115.79
164,660,413,3,92.52
165,418,111,2,47.35
166,1294,383,4,196.36
167,89,333,5,132.85
168,275,57,4,143.66
169,1044,466,4,35.22
170,528,219,3,111.21
171,244,160,3,102.98
172,700,326,2,169.54
173,1555,321,2,32.57
174,433,125,4,133.92
175,1049,431,2,93.14
176,1807,545,1,31.17
177,791,398,1,18.48
178,709,143,4,213.68
179,1234,529,4,120.1
180,1566,150,1,232.51
181,1545,536,2,101.05
182,969,205,4,91.2
183,518,388,3,56.49
184,1083,571,1,65.96
185,50,537,3,227.69
186,806,391,5,112.06
187,1251,149,2,21.72
188,834,266,1,209.12
189,828,117,4,127.59
190,168,55,4,104.62
191,456,578,1,142.5
192,1252,346,4,227.91
193,1461,352,3,35.94
194,840,257,2,136.26
195,1400,141,2,123.49
196,1489,411,5,179.94
197,385,48,2,110.16
198,1162,582,2,201.39
199,1922,348,2,248.93
200,862,112,2,81.23
201,681,54,5,147.09
202,716,550,3,32.45
203,718,448,2,69.31
204,461,390,1,126.99
205,731,480,2,188.06
206,949,378,1,175.59
207,774,528,4,21.45
208,938,270,1,233.71
209,540,479,2,113.19
210,743,15,5,112.55
211,1757,434,2,216.37
212,1648,360,4,243.58
213,1065,340,4,151.05
214,1652,12,2,79.33
215,462,247,1,206.44
216,459,280,3,88.67
217,1972,579,2,193.72
218,754,456,3,132.24
219,797,40,2,80.06
220,712,545,3,31.17
221,838,566,5,81.49
222,534,310,5,180.45
223,110,470,1,74.22
224,552,107,5,240.06
225,875,318,2,177.82
226,1630,571,5,65.96
227,572,205,2,91.2
228,804,95,4,16.81
229,599,519,3,169.02
230,846,498,1,7.05
231,987,230,2,30.93
232,1990,125,5,133.92
233,1537,368,5,236.39
234,65,557,1,214.74
235,501,84,3,78.24
236,395,454,1,245.66
237,272,34,4,31.65
238,133,88,4,10.98
239,1013,52,2,152.05
240,894,129,4,212.34
241,24,491,3,142.78
242,1298,257,5,136.26
243,1829,122,5,248.73
244,1145,94,5,179.65
245,478,375,1,153.81
246,311,553,5,141
247,86,23,4,235.55
248,1373,136,3,134.38
249,1647,393,5,110.24
250,1595,75,5,58.94
251,672,462,3,37.99
252,1949,212,4,103.52
253,780,496,1,152.06
254,1331,259,1,63.94
255,1497,108,3,166.82
256,1184,226,5,248.81
257,1992,388,1,56.49
258,1344,401,1,49.76
259,129,93,2,63.4
260,916,430,5,210.25
261,1034,567,3,200.56
262,1012,34,2,31.65
263,753,497,5,227.24
264,239,154,5,59.41
265,1111,212,3,103.52
266,1281,15,4,112.55
267,303,464,2,7.05
268,905,324,4,180.84
269,940,280,5,88.67
270,1939,380,4,189.1
271,45,590,1,208.71
272,457,221,5,20.79
273,1377,253,5,24.19
274,1141,356,4,113.34
275,60,99,1,224.67
276,492,240,3,87.91
277,336,206,5,175.52
278,1045,563,1,217.58
279,616,166,1,173.26
280,1817,257,5,136.26
281,868,342,3,145.58
282,4,381,2,8.67
283,1905,596,4,181.75
284,781,135,2,160.81
285,35,3,2,111.03
286,1868,272,3,208.78
287,1350,224,4,154.91
288,857,194,2,12.12
289,1169,208,4,137.8
290,351,389,1,5.36
291,1674,599,1,117.25
292,118,213,1,231.67
293,1121,299,2,244.63
294,738,403,5,142.82
295,1565,189,5,145.41
296,1829,173,2,214.37
297,1024,525,2,33.72
298,375,91,4,47.18
299,717,295,3,148.41
300,1173,454,2,245.66
301,1334,45,2,125.63
302,491,223,3,164.17
303,1467,441,3,145.91
304,1727,241,3,136.02
305,1651,502,4,135.74
306,1052,207,4,130.56
307,96,543,3,20.48
308,1106,239,2,125.37
309,253,159,4,222.76
310,1560,558,1,154.68
311,1050,427,4,129.4
312,939,391,5,112.06
313,121,97,2,174.68
314,1117,401,2,49.76
315,1077,217,4,95.1
316,1748,523,5,195.84
317,966,525,5,33.72
318,771,384,1,11.67
319,1630,302,5,248.06
320,1753,377,3,61.88
321,1360,181,4,128.17
322,1958,556,2,155.56
323,1752,195,1,227.17
324,522,233,1,215.96
325,1009,431,2,93.14
326,1918,263,1,114.14
327,823,404,3,58.5
328,419,476,4,124.63
329,1879,56,3,33.1
330,293,238,2,71.19
331,1842,345,5,86.95
332,1986,304,5,93.2
333,872,596,4,181.75
334,1505,309,3,201.42
335,466,321,3,32.57
336,1967,465,4,165.34
337,1185,338,1,70.64
338,1351,216,1,40.45
339,721,140,2,154.37
340,1780,148,5,189.09
341,514,458,4,8.24
342,647,13,4,122.66
343,142,147,3,195.72
344,431,212,4,103.52
345,1046,410,5,238.4
346,1388,566,1,81.49
347,231,480,2,188.06
348,1880,142,4,68.4
349,1580,115,4,226.48
350,1487,530,5,136.98
351,1581,251,4,23.96
352,168,495,5,107.84
353,1857,166,1,173.26
354,1942,362,1,232.13
355,280,579,4,193.72
356,414,512,4,181.18
357,126,194,5,12.12
358,981,349,2,179.18
359,1123,288,2,31.7
360,1522,510,5,93.33
361,1875,541,4,129.94
362,394,50,2,21
363,858,11,3,224.42
364,1327,74,2,86.91
365,593,25,4,151.96
366,585,523,2,195.84
367,1883,142,2,68.4
368,479,306,5,232.45
369,1276,316,4,60.15
370,399,217,5,95.1
371,1241,54,2,147.09
372,1988,386,3,235.37
373,1575,365,4,61.37
374,181,46,4,9.21
375,316,162,4,67.27
376,371,361,3,53.09
377,945,42,4,7.08
378,712,365,3,61.37
379,446,528,5,21.45
380,495,557,2,214.74
381,1941,425,1,172.85
382,1938,246,3,108.45
383,1845,307,5,99.14
384,1289,475,3,132.88
385,1008,454,1,245.66
386,55,500,2,179.13
387,384,436,4,72.85
388,1412,293,5,167.26
389,1790,387,2,159.29
390,499,409,1,19.08
391,743,496,3,152.06
392,162,456,3,132.24
393,1931,60,5,33.2
394,279,323,2,166.91
395,968,55,3,104.62
396,1884,248,5,171.77
397,30,44,1,54.1
398,1676,489,4,49.03
399,498,479,4,113.19
400,213,416,2,221.94
401,624,249,3,10.67
402,217,236,1,41.34
403,1888,211,4,185.35
404,1545,293,4,167.26
405,225,288,3,31.7
406,576,478,2,243.97
407,1704,321,3,32.57
408,73,553,3,141
409,523,305,2,196.24
410,1482,476,5,124.63
411,1545,544,2,68.5
412,1914,4,3,70.25
413,133,468,1,140.82
414,517,437,3,194.26
415,1419,44,2,54.1
416,768,517,3,105.79
417,1857,352,4,35.94
418,959,184,1,187.08
419,1232,335,2,223.36
420,334,235,4,61
421,816,437,5,194.26
422,1847,113,3,138.62
423,941,94,5,179.65
424,1932,167,5,85.8
425,1310,446,4,106.81
426,64,144,1,232.36
427,982,572,5,126.63
428,1103,585,5,90.17
429,92,136,2,134.38
430,848,551,3,154.7
431,527,586,4,148.25
432,1131,584,3,169.83
433,749,342,5,145.58
434,369,581,1,122.34
435,1018,438,2,50.07
436,1487,381,3,8.67
437,1264,249,1,10.67
438,1052,266,3,209.12
439,980,35,3,205.17
440,1735,494,2,196.25
441,1087,95,5,16.81
442,103,561,2,91.92
443,1071,586,5,148.25
444,136,348,3,248.93
445,463,569,5,61.74
446,1395,174,2,228.53
447,1967,444,5,124.61
448,1241,322,2,128.54
449,1812,477,2,49.2
450,104,1,2,33.89
451,793,18,1,46.31
452,385,371,4,207.69
453,1675,166,1,173.26
454,504,437,1,194.26
455,231,64,4,179.34
456,1132,379,3,18.29
457,1072,137,4,23.35
458,1004,97,3,174.68
459,482,4,4,70.25
460,164,414,5,26.9
461,1208,444,5,124.61
462,705,386,1,235.37
463,475,528,3,21.45
464,1967,408,4,54.06
465,103,414,3,26.9
466,1242,64,4,179.34
467,1890,439,5,171.1
468,678,161,2,8.72
469,1008,196,2,203.87
470,1545,424,3,229.51
471,764,7,3,192.11
472,1605,372,1,163.5
473,1465,393,2,110.24
474,102,38,2,133.35
475,682,317,3,136.16
476,262,42,1,7.08
477,651,141,2,123.49
478,910,216,2,40.45
479,763,204,4,23.72
480,1607,135,3,160.81
481,51,188,4,133.9
482,1503,588,2,219.78
483,1530,125,1,133.92
484,1352,145,4,22.77
485,1546,299,5,244.63
486,1840,218,1,68.19
487,1974,73,5,82.6
488,1107,538,5,227.76
489,1419,435,3,130.55
490,904,482,5,128.85
491,1269,477,5,49.2
492,703,84,5,78.24
493,470,109,3,240.15
494,238,46,2,9.21
495,1344,211,2,185.35
496,1297,403,4,142.82
497,474,132,5,119.44
498,1000,576,2,151.56
499,785,158,1,16.32
500,1376,456,3,132.24
501,1650,22,5,109.39
502,1580,493,4,64.05
503,1250,61,2,197.45
504,1038,291,2,118.79
505,1535,481,1,129.33
506,1967,326,1,169.54
507,619,268,5,230.32
508,1910,133,5,22.09
509,163,61,3,197.45
510,1885,151,5,222.77
511,1363,134,2,45.21
512,1096,26,5,215.95
513,142,1,1,33.89
514,1888,553,3,141
515,1406,489,1,49.03
516,159,538,5,227.76
517,1161,471,4,34.17
518,729,19,3,104.09
519,711,460,1,112.26
520,363,66,2,100.86
521,1182,588,1,219.78
522,1166,405,2,199.74
523,997,230,2,30.93
524,1073,126,3,87.32
525,211,503,5,97.02
526,1025,554,2,135.66
527,1985,317,1,136.16
528,1845,308,1,238.69
529,660,120,5,196.86
530,1180,551,4,154.7
531,901,595,3,114.2
532,900,296,5,199.63
533,1208,546,4,120.07
534,1193,154,3,59.41
535,1696,277,1,166.1
536,1164,293,1,167.26
537,1003,406,2,209.08
538,1365,597,3,25.44
539,1184,269,1,117.58
540,455,297,4,65.74
541,1107,250,4,66.45
542,824,599,1,117.25
543,87,130,3,228.6
544,695,260,2,137.01
545,782,83,3,206.15
546,496,107,2,240.06
547,947,498,3,7.05
548,1045,417,1,105.27
549,1998,597,4,25.44
550,407,37,4,138.45
551,1170,404,5,58.5
552,1265,267,5,77.35
553,1757,132,2,119.44
554,37,387,1,159.29
555,8,55,4,104.62
556,1678,355,5,88.22
557,1994,457,3,229.67
558,1487,191,2,37.97
559,439,452,5,154.1
560,680,205,4,91.2
561,562,454,3,245.66
562,1373,166,3,173.26
563,1245,90,5,68.48
564,1084,561,1,91.92
565,1216,492,5,174.3
566,196,558,2,154.68
567,922,512,1,181.18
568,342,518,5,21
569,1069,116,3,241.41
570,460,387,5,159.29
571,1608,534,1,5.88
572,230,462,2,37.99
573,516,90,4,68.48
574,1924,591,5,165.89
575,684,310,1,180.45
576,884,394,2,33.17
577,1159,157,5,85.88
578,975,460,1,112.26
579,1513,263,4,114.14
580,1139,554,5,135.66
581,1859,70,1,65.36
582,1717,394,1,33.17
583,1746,274,4,205.83
584,1115,33,1,81.44
585,803,353,1,56.59
586,1529,482,4,128.85
587,87,161,4,8.72
588,1384,268,4,230.32
589,927,402,4,13.66
590,1101,16,2,95.78
591,1022,134,1,45.21
592,220,414,2,26.9
593,828,473,2,18.24
594,53,416,4,221.94
595,1590,288,1,31.7
596,1517,45,4,125.63
597,1592,429,2,221.89
598,1033,181,2,128.17
599,1806,386,3,235.37
600,87,82,5,223.97
601,957,424,2,229.51
602,82,163,3,13.69
603,600,308,5,238.69
604,1073,33,5,81.44
605,66,336,3,147.91
606,1920,500,1,179.13
607,785,168,5,19.75
608,1669,505,3,34.36
609,861,460,1,112.26
610,1584,36,3,40.88
611,409,51,3,45.81
612,502,351,2,23.35
613,1714,142,1,68.4
614,1715,42,1,7.08
615,648,159,3,222.76
616,1175,505,5,34.36
617,789,486,1,102.52
618,777,592,5,243.21
619,292,241,5,136.02
620,855,564,1,42.97
621,459,567,4,200.56
622,1221,571,1,65.96
623,1971,586,5,148.25
624,1626,324,4,180.84
625,1786,398,5,18.48
626,896,224,2,154.91
627,1163,181,1,128.17
628,360,116,3,241.41
629,1020,361,4,53.09
630,1809,540,2,116.61
631,541,274,2,205.83
632,667,73,5,82.6
633,1140,251,5,23.96
634,1586,225,3,89.94
635,117,166,2,173.26
636,265,474,3,38.64
637,1508,255,3,91.33
638,915,43,4,47.02
639,356,505,1,34.36
640,1657,574,4,236.61
641,629,511,3,98.99
642,733,285,2,95.54
643,1682,544,3,68.5
644,1666,95,4,16.81
645,194,249,3,10.67
646,1461,361,2,53.09
647,1946,68,3,197.36
648,89,548,3,157.52
649,1889,584,3,169.83
650,789,531,1,64.24
651,1691,99,1,224.67
652,367,3,5,111.03
653,444,474,1,38.64
654,1049,383,1,196.36
655,378,142,4,68.4
656,195,449,5,106.91
657,1441,528,3,21.45
658,767,491,2,142.78
659,1328,155,1,188.9
660,1310,137,1,23.35
661,374,406,2,209.08
662,1670,230,3,30.93
663,1914,110,1,158.74
664,1219,223,1,164.17
665,1664,221,1,20.79
666,1259,453,2,91.17
667,306,386,3,235.37
668,1266,348,3,248.93
669,1812,388,1,56.49
670,17,199,3,10.35
671,1479,433,4,39.51
672,46,198,2,199.58
673,960,514,3,200.33
674,134,239,1,125.37
675,1483,221,5,20.79
676,1617,144,2,232.36
677,740,246,5,108.45
678,39,534,5,5.88
679,406,586,5,148.25
680,1763,461,1,113.26
681,842,102,2,131.19
682,1035,132,4,119.44
683,116,236,2,41.34
684,1768,381,2,8.67
685,884,562,2,198.35
686,551,552,2,46.56
687,1101,355,5,88.22
688,1215,208,3,137.8
689,1118,243,1,122.7
690,627,43,3,47.02
691,1516,570,2,176.81
692,651,129,4,212.34
693,1227,559,3,210.93
694,508,24,5,89.79
695,978,30,3,76.12
696,818,52,2,152.05
697,1455,102,4,131.19
698,1104,415,4,153.21
699,1549,565,2,122.01
700,1391,459,1,150.38
701,1302,198,2,199.58
702,1449,264,5,170.77
703,138,269,1,117.58
704,1649,396,1,36.78
705,682,196,5,203.87
706,421,281,5,224.13
707,304,490,5,136.35
708,779,464,1,7.05
709,824,523,4,195.84
710,593,57,1,143.66
711,1490,363,2,231.78
712,1144,202,4,182.83
713,78,482,4,128.85
714,242,561,2,91.92
715,1920,330,3,57.51
716,1724,439,2,171.1
717,1206,161,3,8.72
718,1789,273,5,196.82
719,1981,599,3,117.25
720,871,110,3,158.74
721,925,519,4,169.02
722,202,491,2,142.78
723,1220,182,5,239.29
724,1875,463,5,242.61
725,210,479,1,113.19
726,1775,87,4,101.95
727,392,409,3,19.08
728,1372,504,5,52.52
729,770,367,5,64.54
730,1663,553,5,141
731,26,116,5,241.41
732,790,244,4,60.13
733,1726,270,5,233.71
734,333,274,1,205.83
735,1606,404,1,58.5
736,1741,53,2,88.37
737,357,354,2,185.7
738,237,298,5,99.81
739,857,240,1,87.91
740,299,296,2,199.63
741,1246,594,2,99.59
742,390,336,5,147.91
743,1346,126,3,87.32
744,640,506,2,37.78
745,391,41,5,187.24
746,1348,181,3,128.17
747,394,519,2,169.02
748,669,434,1,216.37
749,1869,597,5,25.44
750,6,276,2,229.5
751,784,516,3,39.97
752,828,553,4,141
753,689,66,3,100.86
754,1805,139,3,165
755,904,275,5,142.78
756,393,164,4,233.68
757,192,393,4,110.24
758,1144,453,1,91.17
759,1931,192,3,177.21
760,1665,317,4,136.16
761,409,302,3,248.06
762,1373,366,2,236.73
763,1790,221,5,20.79
764,444,107,4,240.06
765,1096,269,5,117.58
766,1362,243,2,122.7
767,1614,578,1,142.5
768,1515,346,1,227.91
769,1763,457,3,229.67
770,1238,60,1,33.2
771,1521,252,1,65.99
772,347,363,1,231.78
773,385,185,2,28.86
774,1254,45,5,125.63
775,1392,530,1,136.98
776,1598,419,4,79.09
777,1801,62,5,115.47
778,1991,246,5,108.45
779,1672,247,1,206.44
780,362,333,4,132.85
781,1265,33,5,81.44
782,725,396,3,36.78
783,700,32,4,177.14
784,1022,396,4,36.78
785,1483,485,3,42.17
786,125,168,4,19.75
787,531,538,3,227.76
788,64,583,1,201.79
789,973,394,2,33.17
790,1695,202,4,182.83
791,1490,557,5,214.74
792,464,479,2,113.19
793,1712,527,1,41.86
794,929,169,4,109.98
795,406,597,1,25.44
796,1271,48,5,110.16
797,1935,407,1,240.64
798,12,539,4,135.83
799,1410,145,2,22.77
800,427,410,3,238.4
801,1832,105,4,213.49
802,1226,325,1,138.52
803,718,79,2,23.89
804,1323,361,1,53.09
805,1861,438,5,50.07
806,601,314,4,232.23
807,1536,518,2,21
808,1161,173,5,214.37
809,1168,138,1,130.32
810,441,1,4,33.89
811,197,228,4,217.27
812,327,8,4,61.56
813,1058,563,3,217.58
814,1652,474,2,38.64
815,394,587,4,157.08
816,236,298,3,99.81
817,243,122,5,248.73
818,1616,496,1,152.06
819,729,569,4,61.74
820,217,574,1,236.61
821,120,476,3,124.63
822,1482,593,3,102.68
823,1683,449,2,106.91
824,98,319,4,189.91
825,1089,130,3,228.6
826,251,117,5,127.59
827,882,84,4,78.24
828,867,521,1,110.4
829,1939,365,5,61.37
830,1009,173,5,214.37
831,1040,512,5,181.18
832,1540,425,3,172.85
833,496,474,4,38.64
834,1606,214,5,118.77
835,271,551,2,154.7
836,1505,64,3,179.34
837,919,15,4,112.55
838,593,180,2,214.69
839,298,559,3,210.93
840,1087,88,2,10.98
841,350,93,2,63.4
842,1731,418,2,239.74
843,1657,219,4,111.21
844,1585,259,3,63.94
845,476,158,5,16.32
846,1525,425,3,172.85
847,350,12,2,79.33
848,230,300,1,239.04
849,1387,232,5,160.25
850,1210,32,4,177.14
851,70,5,5,12.49
852,39,179,5,81.74
853,1485,551,4,154.7
854,1969,434,2,216.37
855,1751,373,4,151.99
856,1015,231,5,132.58
857,250,572,3,126.63
858,49,515,3,86.3
859,1561,301,5,45.84
860,113,64,3,179.34
861,730,95,3,16.81
862,923,118,5,190.86
863,114,282,1,122.66
864,694,566,3,81.49
865,1573,358,2,178.19
866,542,288,4,31.7
867,837,70,2,65.36
868,333,390,4,126.99
869,890,423,4,80.89
870,1591,227,4,202.25
871,1507,526,1,237.96
872,779,520,4,18.28
873,1818,194,2,12.12
874,1283,137,1,23.35
875,720,147,4,195.72
876,520,361,1,53.09
877,635,247,3,206.44
878,891,19,3,104.09
879,1336,466,3,35.22
880,1443,349,1,179.18
881,1912,13,3,122.66
882,474,436,2,72.85
883,789,381,5,8.67
884,1117,6,2,173.19
885,1369,180,2,214.69
886,1741,123,2,152.2
887,1496,97,2,174.68
888,848,237,1,135.53
889,1480,351,2,23.35
890,1298,13,4,122.66
891,1937,222,1,30.3
892,74,36,1,40.88
893,129,193,3,103.63
894,1224,386,5,235.37
895,1996,223,3,164.17
896,352,401,3,49.76
897,572,300,3,239.04
898,468,597,3,25.44
899,1507,226,1,248.81
900,738,387,2,159.29
901,1223,291,3,118.79
902,730,540,5,116.61
903,117,54,5,147.09
904,1814,93,4,63.4
905,731,348,5,248.93
906,2000,554,2,135.66
907,1763,313,5,107.23
908,1059,293,4,167.26
909,342,559,3,210.93
910,206,153,5,167.42
911,1432,156,2,139.02
912,865,310,4,180.45
913,1287,270,5,233.71
914,907,375,3,153.81
915,932,459,1,150.38
916,1,574,4,236.61
917,611,592,1,243.21
918,1318,514,2,200.33
919,490,75,1,58.94
920,751,372,4,163.5
921,569,297,2,65.74
922,1655,105,2,213.49
923,1122,501,3,203.03
924,78,238,3,71.19
925,377,58,1,117.15
926,1406,509,4,37.72
927,832,521,1,110.4
928,1499,63,5,111.6
929,623,154,1,59.41
930,940,12,5,79.33
931,1607,249,5,10.67
932,1470,237,2,135.53
933,1190,134,5,45.21
934,1192,416,2,221.94
935,725,153,2,167.42
936,61,58,3,117.15
937,189,509,4,37.72
938,1631,36,4,40.88
939,1935,141,4,123.49
940,78,273,1,196.82
941,378,538,1,227.76
942,1475,228,5,217.27
943,244,289,5,117.41
944,379,590,3,208.71
945,220,37,5,138.45
946,1559,490,2,136.35
947,1137,261,1,103.81
948,272,87,3,101.95
949,689,237,2,135.53
950,1160,451,3,92.33
951,1887,12,5,79.33
952,1170,68,3,197.36
953,30,564,2,42.97
954,1834,560,3,233.09
955,1948,302,5,248.06
956,1005,175,1,246.25
957,1850,565,2,122.01
958,1612,372,5,163.5
959,1416,517,3,105.79
960,1024,566,4,81.49
961,1739,484,3,30.33
962,1391,419,1,79.09
963,1620,78,1,119.86
964,423,235,3,61
965,1838,39,5,19.4
966,722,62,5,115.47
967,1619,227,5,202.25
968,1846,428,4,165.28
969,886,53,1,88.37
970,768,285,5,95.54
971,673,75,1,58.94
972,796,184,3,187.08
973,1494,479,2,113.19
974,1984,180,4,214.69
975,55,484,2,30.33
976,1773,513,2,15.33
977,1367,203,2,7.03
978,1516,83,5,206.15
979,391,27,1,211.23
980,125,464,3,7.05
981,1688,409,3,19.08
982,926,432,2,52.86
983,435,128,1,104.71
984,63,213,2,231.67
985,1289,180,4,214.69
986,679,501,4,203.03
987,862,183,2,164.88
988,1423,96,4,130.35
989,177,373,3,151.99
990,1085,530,4,136.98
991,402,572,1,126.63
992,736,286,3,112.95
993,504,29,2,70.82
994,756,436,3,72.85
995,1846,452,4,154.1
996,1562,114,5,144.78
997,1585,37,2,138.45
998,884,351,1,23.35
999,119,259,2,63.94
1000,1748,319,1,189.91
1001,1943,319,5,189.91
1002,740,152,4,177.46
1003,1601,530,1,136.98
1004,907,314,1,232.23
1005,491,490,2,136.35
1006,1093,587,1,157.08
1007,1651,31,2,165.88
1008,1224,216,3,40.45
1009,799,94,5,179.65
1010,1648,421,5,44.47
1011,701,388,5,56.49
1012,577,388,4,56.49
1013,1710,527,3,41.86
1014,1943,195,2,227.17
1015,1111,552,3,46.56
1016,1993,98,4,176.81
1017,1472,359,4,243.4
1018,174,190,1,228.66
1019,805,505,1,34.36
1020,1510,159,5,222.76
1021,1052,141,2,123.49
1022,1145,71,4,27.17
1023,804,198,5,199.58
1024,849,364,5,12.9
1025,1216,179,4,81.74
1026,1584,282,2,122.66
1027,1065,384,5,11.67
1028,590,9,3,231.99
1029,1712,514,3,200.33
1030,1796,150,2,232.51
1031,1631,477,1,49.2
1032,1480,278,1,97.19
1033,1305,90,1,68.48
1034,278,69,4,68.48
1035,1263,499,4,21.14
1036,1900,399,2,197.36
1037,348,55,4,104.62
1038,1929,54,3,147.09
1039,319,466,1,35.22
1040,427,516,2,39.97
1041,259,166,2,173.26
1042,1288,20,4,227.89
1043,1255,18,4,46.31
1044,684,377,3,61.88
1045,661,155,3,188.9
1046,1293,545,3,31.17
1047,1978,61,3,197.45
1048,191,465,2,165.34
1049,999,16,1,95.78
1050,799,107,2,240.06
1051,1688,540,4,116.61
1052,1058,113,3,138.62
1053,1617,447,1,9.67
1054,90,471,2,34.17
1055,1434,566,1,81.49
1056,131,301,4,45.84
1057,1864,343,3,233.56
1058,127,600,4,64.63
1059,1750,276,2,229.5
1060,329,210,1,139.75
1061,1254,458,1,8.24
1062,1423,581,4,122.34
1063,1755,112,5,81.23
1064,345,34,5,31.65
1065,24,472,1,115.1
1066,1726,562,1,198.35
1067,6,145,2,22.77
1068,1045,545,1,31.17
1069,1442,241,5,136.02
1070,998,446,1,106.81
1071,336,382,3,180.56
1072,172,218,2,68.19
1073,1415,223,2,164.17
1074,162,309,1,201.42
1075,1915,214,2,118.77
1076,1542,78,4,119.86
1077,507,265,3,94.45
1078,1198,145,2,22.77
1079,153,245,4,172.77
1080,1093,381,5,8.67
1081,1586,178,1,26.02
1082,572,554,1,135.66
1083,1528,7,5,192.11
1084,1849,600,4,64.63
1085,1213,427,2,129.4
1086,1456,116,3,241.41
1087,1032,344,5,147.77
1088,1517,265,2,94.45
1089,1751,593,3,102.68
1090,1044,304,4,93.2
1091,1324,332,5,209.27
1092,99,439,1,171.1
1093,639,67,1,242.6
1094,763,432,4,52.86
1095,184,337,5,248.3
1096,1161,151,5,222.77
1097,856,452,5,154.1
1098,1786,231,5,132.58
1099,689,260,4,137.01
1100,86,320,2,208
1101,897,116,1,241.41
1102,1554,125,4,133.92
1103,245,358,3,178.19
1104,1979,322,4,128.54
1105,1065,125,2,133.92
1106,1497,547,4,179.19
1107,1021,518,1,21
1108,255,351,5,23.35
1109,1582,330,1,57.51
1110,500,102,5,131.19
