id,product_id,color,size,stock,price_delta
361,32,Blue,L,78,-73.45
362,93,Red,XL,364,57.96
363,186,White,L,375,164.10
364,3,Blue,S,179,-50.34
365,142,Black,S,93,1.53
366,135,Black,M,152,218.66
367,54,Red,XL,309,52.74
368,96,Blue,L,87,215.35
369,50,White,M,202,79.54
370,149,Blue,XL,299,-3.60
371,6,Blue,S,348,28.55
372,88,Black,L,149,149.11
373,180,Blue,XL,428,131.24
374,148,Blue,XL,187,-135.74
375,173,Blue,L,182,-43.86
376,66,Black,L,73,43.93
377,118,Red,XL,277,-76.63
378,54,Red,XL,370,163.79
379,38,Blue,XL,106,-120.69
380,92,Red,S,429,71.60
381,14,Blue,L,223,-17.65
382,80,White,S,218,132.97
383,31,White,S,200,27.63
384,105,White,L,379,-147.26
385,180,Red,M,243,58.37
386,108,Black,XL,258,178.85
387,60,White,S,174,-33.17
388,183,Blue,XL,127,-70.31
389,185,Red,L,410,-121.54
390,176,Blue,L,395,-53.33
391,38,Red,S,225,-26.92
392,132,Red,XL,107,221.44
393,150,Red,L,481,-59.93
394,80,Blue,S,162,-14.42
395,156,Blue,L,168,5.36
396,14,White,S,74,10.46
397,18,Black,M,266,-13.96
398,188,Black,S,67,-127.58
399,138,Red,L,363,41.65
400,3,Blue,M,201,-9.21
401,149,White,L,250,-47.89
402,16,Blue,M,217,-90.55
403,105,Black,S,308,-16.11
404,164,White,S,140,-64.50
405,78,Black,S,499,133.59
406,186,Black,M,126,141.40
407,60,Red,S,79,48.18
408,151,Blue,S,166,-114.50
409,171,Black,M,77,-16.38
410,192,Black,S,465,119.25
411,191,Red,M,319,37.59
412,109,Black,M,441,86.22
413,50,Red,L,441,-0.62
414,169,Blue,XL,175,-17.14
415,126,White,L,108,145.00
416,62,Blue,S,322,124.88
417,78,Red,L,236,39.12
418,91,Blue,L,311,156.85
419,5,White,L,204,-117.35
420,146,White,M,380,4.36
421,161,White,M,466,-91.79
422,157,White,L,211,-6.44
423,44,Blue,L,269,36.21
424,40,Blue,L,482,82.44
425,40,Black,L,295,25.78
426,137,Black,S,148,53.83
427,167,Red,L,495,-29.72
428,91,Red,L,144,82.39
429,97,Red,S,414,186.13
430,54,White,S,205,198.45
431,84,White,XL,75,-70.80
432,60,Black,L,119,-139.60
433,58,Red,L,166,32.03
434,20,Blue,L,274,185.58
435,149,White,XL,232,32.90
436,51,Black,XL,167,-89.78
437,196,White,M,60,145.10
438,42,Red,XL,451,-32.46
439,93,White,S,494,-3.07
440,55,Blue,S,150,88.60
441,155,White,L,479,98.27
442,172,White,S,295,-22.08
443,142,Black,S,305,154.21
444,144,White,L,311,105.35
445,82,Red,L,343,49.71
446,23,Red,XL,86,87.33
447,68,Red,S,142,-64.47
448,84,Red,M,468,-94.63
449,65,Blue,L,56,-70.80
450,76,Red,M,270,-12.76
451,111,Red,M,384,40.49
452,185,Red,XL,395,27.20
453,45,White,L,253,84.61
454,92,Blue,M,126,128.16
455,124,Black,M,176,26.45
456,21,Black,S,291,-21.79
457,146,Red,XL,457,188.13
458,44,Blue,XL,332,-36.44
459,186,White,XL,241,82.70
460,14,Red,L,402,85.94
461,166,Black,L,496,-65.39
462,92,White,M,476,-79.51
463,12,Red,L,138,148.83
464,146,Blue,XL,169,-34.49
465,157,Blue,S,310,66.69
466,54,Blue,XL,184,23.42
467,36,Red,M,462,-111.43
468,190,White,L,268,56.59
469,120,Red,XL,365,39.65
470,130,White,L,129,33.12
471,175,Red,S,244,19.75
472,183,Blue,M,323,-11.70
473,114,White,L,419,-12.15
474,28,Blue,S,253,5.70
475,47,Blue,XL,353,70.45
476,10,Blue,M,198,-39.08
477,90,Red,M,447,34.51
478,8,Black,S,331,112.00
479,59,Red,XL,431,18.58
480,27,Black,XL,192,164.47
481,105,Red,XL,134,-29.60
482,103,Blue,XL,213,109.28
483,38,White,L,165,15.72
484,56,White,XL,102,10.02
485,109,Blue,S,241,-53.97
486,144,Red,L,248,83.26
487,125,Red,XL,205,80.57
488,165,Red,XL,198,145.81
489,45,Blue,S,128,42.47
490,118,Black,S,211,-2.16
491,127,Red,L,459,79.51
492,119,Blue,L,471,115.89
493,138,White,M,152,-91.66
494,153,Black,M,367,85.89
495,195,Red,S,65,41.66
496,89,Red,L,388,143.96
497,105,Red,M,210,68.31
498,102,White,XL,383,-133.96
499,90,White,M,363,6.45
500,82,White,XL,200,5.69
501,25,Black,XL,97,166.40
502,105,Black,M,425,-23.19
503,46,White,L,216,-88.62
504,139,White,L,134,-90.09
505,138,White,M,349,-121.35
506,134,Blue,M,220,29.01
507,156,White,L,448,-80.88
508,45,White,M,353,168.23
509,126,Black,S,290,29.51
510,145,White,M,120,-40.43
511,72,Black,L,65,-94.33
512,136,White,XL,155,17.88
513,177,Red,S,469,-129.16
514,133,Black,M,466,108.79
515,198,Blue,S,278,-70.59
516,184,Red,XL,240,-4.08
517,166,Blue,L,238,-72.86
518,141,White,M,171,7.34
519,62,White,S,283,71.96
520,158,Black,XL,467,-51.71
521,135,Black,S,452,92.33
522,72,White,XL,405,22.33
523,198,Blue,L,349,38.95
524,192,Blue,S,317,-82.49
525,94,Red,S,491,-124.58
526,63,Blue,S,462,212.41
527,5,White,L,62,-154.58
528,121,Blue,S,457,-26.42
529,151,Black,XL,358,-48.46
530,129,White,S,395,-35.70
531,181,Blue,XL,317,-9.42
532,98,Red,XL,84,66.43
533,54,Black,L,104,16.76
534,51,Black,S,271,-156.75
535,61,Red,S,81,54.28
536,147,Red,XL,70,-5.80
537,172,Red,S,294,123.17
538,113,Red,M,495,119.08
539,83,Blue,XL,187,84.95
540,132,Blue,M,349,102.98
541,152,Red,M,387,97.78
542,102,Blue,XL,372,-19.05
543,57,Black,L,125,-119.69
544,127,Red,S,479,5.23
545,80,White,L,120,-16.42
546,117,Blue,S,341,32.96
547,84,White,L,57,15.25
548,138,Red,M,83,1.81
549,119,Black,L,421,105.01
550,129,Blue,S,400,-140.23
551,83,Black,XL,321,103.82
552,88,White,S,365,32.17
553,30,Black,S,206,23.57
554,193,White,M,166,-58.41
555,56,Red,S,480,204.75
556,145,Red,XL,196,21.80
557,148,Black,M,185,33.48
558,15,Blue,S,194,121.20
559,122,Blue,XL,84,199.70
560,48,Black,M,471,195.53
561,194,Blue,XL,231,27.66
562,131,White,M,167,177.06
563,16,Black,L,214,113.37
564,56,Red,M,410,22.66
565,134,Black,XL,424,113.24
566,157,Blue,S,447,-17.16
567,180,White,L,403,179.81
568,163,Black,XL,245,162.21
569,118,White,S,302,-76.77
570,166,Red,S,273,-1.84
571,52,Black,L,301,-10.87
572,148,White,S,411,-54.63
573,165,Blue,XL,265,73.39
574,194,Blue,S,122,172.35
575,109,Black,M,365,-19.48
576,111,White,S,295,99.72
577,153,Red,XL,442,19.28
578,28,White,L,325,109.56
579,67,Black,S,282,133.83
580,68,Red,S,93,-35.09
581,105,Black,XL,418,-36.59
582,34,Blue,XL,445,54.43
583,60,Blue,S,260,9.33
584,154,White,S,282,73.75
585,22,Black,L,71,43.69
586,18,Black,S,231,-35.46
587,79,Blue,S,485,-33.72
588,84,Red,M,177,55.84
589,84,White,M,409,-3.51
590,56,Red,L,215,188.40
591,183,Black,L,179,39.09
592,169,White,M,490,199.17
593,42,Red,S,120,20.15
594,43,Red,S,411,-85.82
595,55,Black,M,255,40.06
596,29,White,L,198,-4.80
597,131,Red,XL,86,4.15
598,60,Blue,S,334,-12.35
599,118,White,S,326,-21.26
600,29,Black,M,159,-121.92
