id,name,owner_user_id,rating,active,created_at
74,Citrine Corner 74,19,3.47,1,2025-03-16 00:45:42
75,Pinecrest 75,38,3.90,1,2025-03-16 09:16:47
76,Pearl Market 76,47,3.94,1,2024-11-18 18:10:09
77,Cobalt & Co 77,49,3.80,1,2024-01-09 02:48:29
78,Orchid Avenue 78,3,4.63,1,2024-10-25 03:34:29
79,Monarch Market 79,32,3.95,1,2025-02-08 16:56:19
80,Crescent Store 80,24,3.91,0,2024-06-27 16:34:39
81,Timberline 81,30,4.00,1,2024-02-11 05:47:26
82,Skyline Goods 82,35,4.87,1,2024-05-01 20:11:20
83,Copper & Co 83,40,3.56,0,2024-06-01 19:46:53
84,Slate Market 84,31,4.28,1,2026-01-13 15:39:13
85,Riverstone 85,6,3.54,1,2024-06-12 13:19:47
86,Amberfield 86,43,4.32,1,2024-10-25 14:47:43
87,Cedar Grove 87,7,4.45,1,2024-04-09 13:00:57
88,Silverline 88,6,4.42,1,2025-12-02 13:29:51
89,Elm & Ivy 89,15,4.15,1,2024-04-14 08:03:26
90,Meadow Lane 90,17,4.23,1,2025-12-03 01:02:24
91,Brighton 91,13,3.93,1,2024-06-03 18:27:28
92,Eastwood 92,23,3.93,1,2025-01-26 02:37:10
93,Maplecrest 93,36,4.55,1,2024-10-27 16:18:56
94,Harborview 94,39,4.33,1,2025-06-01 00:11:16
95,Violet Lane 95,41,4.06,1,2024-11-02 10:51:04
96,Rainier 96,25,4.39,1,2025-01-14 07:03:26
97,Granite Goods 97,49,4.51,1,2025-01-27 06:03:01
98,Wellspring 98,6,4.45,0,2024-06-07 08:11:44
99,Heritage Shop 99,47,4.75,1,2025-10-03 07:41:45
100,Canyon Market 100,35,4.41,1,2024-04-23 23:08:12
101,Sunrise Market 101,2,3.82,1,2024-06-09 17:42:50
102,Lotus Mart 102,32,3.77,1,2025-01-26 17:49:41
103,Saigon Select 103,32,3.54,1,2024-10-14 10:16:14
104,Urban Thread 104,21,4.65,1,2025-02-07 21:41:39
105,Golden Leaf 105,13,4.53,1,2025-05-21 18:09:24
106,Bamboo House 106,31,4.20,1,2024-09-01 11:39:01
107,Coastal Goods 107,39,3.55,0,2024-07-17 11:22:03
108,Metro Outlet 108,25,4.12,1,2025-04-13 18:04:26
109,Aurora Supply 109,21,4.02,1,2024-01-11 22:57:54
110,Cedar & Co 110,30,4.50,1,2025-03-23 11:34:59
111,Amber Street 111,41,4.49,1,2024-11-05 07:55:03
112,Nova Essentials 112,27,3.97,1,2024-07-02 23:54:37
113,Lantern & Pine 113,46,4.08,1,2025-04-24 03:42:19
114,Velvet Road 114,8,4.05,1,2024-01-24 02:35:58
115,Craftline 115,34,3.57,1,2025-04-27 11:52:47
116,Evergreen Shop 116,50,3.82,1,2024-12-22 04:59:08
117,Maple & Oak 117,21,3.63,1,2024-09-21 09:32:21
118,City Harbor 118,29,3.71,1,2025-04-04 16:17:23
119,Bloom Bazaar 119,10,4.68,1,2025-07-23 17:08:06
120,Northgate Store 120,9,4.78,1,2025-03-13 21:04:46
121,Seaside Pantry 121,23,4.80,1,2025-08-07 06:23:33
122,Willow & Co 122,43,4.38,0,2024-10-08 19:19:55
123,Harbor Lane 123,39,4.48,1,2024-04-27 20:23:32
124,Citrine Corner 124,36,4.63,1,2025-03-12 05:19:45
125,Pinecrest 125,24,4.75,1,2025-02-16 05:39:57
126,Pearl Market 126,5,3.56,0,2025-05-22 19:06:01
127,Cobalt & Co 127,44,3.62,1,2025-10-03 01:52:37
128,Orchid Avenue 128,24,3.74,0,2026-01-14 09:12:10
129,Monarch Market 129,40,3.71,1,2025-02-21 07:26:05
130,Crescent Store 130,13,4.35,1,2024-12-08 23:37:58
131,Timberline 131,23,4.66,1,2025-08-29 07:10:19
132,Skyline Goods 132,34,3.90,1,2025-01-08 17:18:17
133,Copper & Co 133,2,4.41,1,2024-07-31 09:25:33
134,Slate Market 134,29,3.61,1,2025-03-13 09:55:50
135,Riverstone 135,46,4.81,1,2024-06-14 02:13:45
136,Amberfield 136,24,4.43,1,2025-02-22 05:11:41
137,Cedar Grove 137,27,4.08,1,2025-11-09 14:53:09
138,Silverline 138,40,4.03,1,2025-11-17 10:01:45
139,Elm & Ivy 139,28,4.46,1,2024-01-27 21:54:58
140,Meadow Lane 140,37,4.68,1,2025-03-14 18:02:17
141,Brighton 141,37,3.71,1,2024-04-27 11:51:20
142,Eastwood 142,9,3.80,1,2025-03-19 07:14:39
143,Maplecrest 143,39,4.83,1,2024-04-13 22:07:19
144,Harborview 144,38,4.44,1,2025-08-28 21:59:31
145,Violet Lane 145,15,3.84,1,2025-08-20 17:43:26
146,Rainier 146,31,4.82,1,2026-01-28 10:58:24
147,Granite Goods 147,31,3.51,1,2024-06-04 17:36:47
148,Wellspring 148,5,4.29,1,2025-04-18 06:41:56
149,Heritage Shop 149,31,4.86,0,2024-11-15 10:48:33
150,Canyon Market 150,35,4.74,1,2024-06-07 04:36:58
151,Sunrise Market 151,5,4.00,0,2024-08-10 20:53:58
152,Lotus Mart 152,16,3.75,1,2026-01-31 08:37:11
153,Saigon Select 153,29,4.15,1,2025-06-16 14:46:08
154,Urban Thread 154,45,4.11,1,2024-09-08 14:22:44
155,Golden Leaf 155,43,3.69,0,2024-10-04 09:18:58
156,Bamboo House 156,10,3.47,1,2024-06-03 12:35:05
157,Coastal Goods 157,32,4.24,0,2024-12-01 09:26:37
158,Metro Outlet 158,47,4.31,0,2025-05-14 02:15:35
159,Aurora Supply 159,7,4.81,1,2025-06-11 03:44:04
160,Cedar & Co 160,15,3.93,1,2025-03-25 22:46:21
161,Amber Street 161,16,4.59,1,2025-12-01 06:38:07
162,Nova Essentials 162,44,4.26,1,2025-11-02 13:14:13
163,Lantern & Pine 163,17,4.88,1,2025-07-29 16:23:05
164,Velvet Road 164,25,4.34,1,2024-04-11 19:36:43
165,Craftline 165,17,4.10,1,2025-01-24 17:03:49
166,Evergreen Shop 166,46,4.16,1,2025-03-19 19:34:08
167,Maple & Oak 167,15,3.99,1,2024-09-27 23:13:18
168,City Harbor 168,44,4.73,0,2024-06-08 14:41:02
169,Bloom Bazaar 169,28,3.54,1,2025-02-13 03:28:49
170,Northgate Store 170,4,4.49,1,2025-01-09 20:21:34
171,Seaside Pantry 171,1,3.44,1,2024-12-07 18:39:14
172,Willow & Co 172,5,4.25,1,2025-05-29 06:11:12
173,Harbor Lane 173,5,3.54,1,2024-07-14 20:19:29
174,Citrine Corner 174,3,4.14,1,2026-01-11 14:39:05
175,Pinecrest 175,31,3.60,1,2024-05-03 00:09:21
176,Pearl Market 176,43,3.44,1,2025-05-24 18:31:03
177,Cobalt & Co 177,41,3.64,1,2024-04-01 15:51:56
178,Orchid Avenue 178,8,4.62,1,2024-10-13 14:51:17
179,Monarch Market 179,22,3.94,1,2024-01-04 08:15:38
180,Crescent Store 180,16,4.78,1,2024-12-22 12:27:16
181,Timberline 181,13,3.98,1,2024-08-23 12:01:55
182,Skyline Goods 182,44,3.65,1,2025-04-29 00:09:07
183,Copper & Co 183,34,3.75,1,2024-10-21 14:46:48
184,Slate Market 184,12,4.57,1,2025-08-16 16:01:10
185,Riverstone 185,31,4.37,1,2024-05-20 09:11:19
186,Amberfield 186,34,4.03,1,2025-04-23 14:54:44
187,Cedar Grove 187,15,4.74,1,2025-10-17 21:53:44
188,Silverline 188,40,4.62,0,2026-01-30 09:29:18
189,Elm & Ivy 189,42,4.30,1,2025-09-13 04:59:01
190,Meadow Lane 190,32,4.35,0,2025-12-17 23:28:16
191,Brighton 191,29,3.89,1,2025-06-26 12:41:41
192,Eastwood 192,1,4.33,1,2025-05-23 06:46:36
193,Maplecrest 193,7,4.33,1,2025-05-21 00:36:28
194,Harborview 194,23,3.41,1,2024-02-05 05:06:01
195,Violet Lane 195,29,3.43,1,2024-09-27 17:13:17
196,Rainier 196,18,3.70,1,2025-05-01 23:39:57
197,Granite Goods 197,41,4.39,1,2024-11-01 07:50:57
198,Wellspring 198,2,4.84,1,2025-11-30 04:55:48
199,Heritage Shop 199,35,4.58,1,2024-01-21 23:22:40
200,Canyon Market 200,47,4.25,1,2024-06-09 19:07:31
201,Sunrise Market 201,25,3.58,1,2025-02-28 23:26:10
202,Lotus Mart 202,44,4.63,1,2025-08-04 16:46:54
203,Saigon Select 203,26,3.87,1,2024-06-29 10:00:56
204,Urban Thread 204,29,4.56,1,2025-07-27 13:03:09
205,Golden Leaf 205,46,4.64,1,2025-12-07 21:01:44
206,Bamboo House 206,24,3.80,1,2024-08-13 20:23:17
207,Coastal Goods 207,33,4.30,1,2025-03-09 14:29:57
208,Metro Outlet 208,38,3.62,1,2025-10-18 02:24:07
209,Aurora Supply 209,38,4.76,1,2024-06-14 03:00:08
210,Cedar & Co 210,38,3.86,1,2025-07-21 21:36:53
211,Amber Street 211,37,3.54,1,2026-01-07 21:14:27
212,Nova Essentials 212,34,4.06,1,2024-05-04 17:28:14
213,Lantern & Pine 213,6,4.08,1,2024-08-16 04:40:54
214,Velvet Road 214,24,3.62,1,2025-06-23 01:44:29
215,Craftline 215,19,3.84,1,2025-06-16 20:15:29
216,Evergreen Shop 216,47,4.77,1,2024-09-15 07:33:51
217,Maple & Oak 217,34,4.27,1,2025-04-02 16:21:30
218,City Harbor 218,40,4.59,1,2024-05-11 06:56:39
219,Bloom Bazaar 219,14,3.46,1,2024-06-25 17:37:16
220,Northgate Store 220,11,4.61,1,2026-01-05 02:35:50
221,Seaside Pantry 221,22,4.90,1,2024-09-07 01:04:49
222,Willow & Co 222,15,3.65,1,2025-04-01 13:36:34
223,Harbor Lane 223,19,3.55,1,2024-09-12 13:58:20
224,Citrine Corner 224,8,4.46,1,2025-02-27 18:22:19
225,Pinecrest 225,29,3.83,1,2025-06-20 02:49:27
226,Pearl Market 226,37,3.47,1,2025-04-08 12:59:58
227,Cobalt & Co 227,12,4.36,1,2025-06-21 17:03:07
228,Orchid Avenue 228,6,4.18,1,2024-06-24 20:23:38
229,Monarch Market 229,46,4.29,1,2025-10-25 10:40:55
230,Crescent Store 230,18,4.89,1,2024-08-07 11:01:49
231,Timberline 231,4,3.86,1,2025-03-22 14:18:36
232,Skyline Goods 232,33,4.17,1,2025-05-30 01:22:40
233,Copper & Co 233,22,4.17,1,2024-09-26 10:46:11
234,Slate Market 234,1,3.90,1,2025-05-08 00:30:45
235,Riverstone 235,41,4.54,1,2025-09-22 18:40:41
236,Amberfield 236,36,3.56,1,2024-10-11 12:12:17
237,Cedar Grove 237,28,3.41,1,2025-02-01 14:57:46
238,Silverline 238,8,3.97,1,2025-07-26 05:38:31
239,Elm & Ivy 239,34,4.44,1,2024-12-25 22:35:53
240,Meadow Lane 240,14,3.91,1,2025-01-19 00:07:55
241,Brighton 241,17,3.57,1,2025-07-01 19:13:02
242,Eastwood 242,8,4.70,0,2024-11-25 21:03:18
243,Maplecrest 243,44,4.75,1,2024-05-24 21:30:56
244,Harborview 244,40,4.12,1,2025-06-29 03:11:58
245,Violet Lane 245,28,3.79,1,2024-02-23 04:02:59
246,Rainier 246,1,3.55,1,2024-04-03 20:56:45
247,Granite Goods 247,7,4.78,1,2025-10-29 21:08:29
248,Wellspring 248,3,4.75,1,2025-04-12 18:10:02
249,Heritage Shop 249,8,4.73,1,2024-05-13 08:40:38
250,Canyon Market 250,15,4.83,0,2024-04-28 17:02:10
251,Sunrise Market 251,48,4.76,1,2026-01-24 17:19:13
252,Lotus Mart 252,16,4.39,1,2024-08-19 02:00:36
253,Saigon Select 253,18,3.67,1,2025-01-16 17:24:06
254,Urban Thread 254,22,4.26,1,2025-03-25 06:26:47
255,Golden Leaf 255,15,3.43,1,2025-12-29 18:23:10
256,Bamboo House 256,23,4.80,1,2025-07-06 12:38:44
257,Coastal Goods 257,14,4.49,1,2024-05-28 02:27:11
258,Metro Outlet 258,37,4.36,1,2024-01-16 04:36:23
259,Aurora Supply 259,1,3.59,1,2025-06-11 08:26:15
260,Cedar & Co 260,15,3.73,1,2024-11-09 12:35:51
261,Amber Street 261,47,3.57,1,2024-10-27 11:16:51
262,Nova Essentials 262,27,4.78,1,2025-03-10 11:41:27
263,Lantern & Pine 263,30,4.51,1,2024-04-28 07:35:40
264,Velvet Road 264,2,4.20,1,2025-04-27 22:04:34
265,Craftline 265,19,4.38,1,2024-01-01 08:40:09
266,Evergreen Shop 266,4,4.30,1,2024-05-04 06:24:38
267,Maple & Oak 267,43,4.08,1,2024-05-02 08:15:15
268,City Harbor 268,32,3.73,1,2026-01-20 14:52:54
269,Bloom Bazaar 269,29,4.71,1,2024-12-12 07:23:39
270,Northgate Store 270,1,3.42,1,2025-09-21 23:44:10
271,Seaside Pantry 271,45,4.06,1,2024-01-08 05:46:23
272,Willow & Co 272,45,4.59,1,2025-05-02 07:22:57
273,Harbor Lane 273,43,4.48,1,2025-07-28 10:52:57
274,Citrine Corner 274,3,3.80,1,2024-10-21 10:12:49
275,Pinecrest 275,39,4.40,0,2024-11-17 17:32:53
276,Pearl Market 276,27,4.05,1,2024-07-10 07:17:25
277,Cobalt & Co 277,37,3.99,1,2025-05-30 12:23:45
278,Orchid Avenue 278,34,4.79,1,2024-12-06 08:02:17
279,Monarch Market 279,47,4.90,0,2026-01-09 16:24:59
280,Crescent Store 280,33,3.44,1,2025-04-14 13:44:58
281,Timberline 281,42,4.86,1,2024-07-17 16:21:35
282,Skyline Goods 282,39,3.42,1,2025-09-25 12:41:10
283,Copper & Co 283,9,3.84,1,2025-01-13 04:06:52
284,Slate Market 284,16,4.84,1,2025-08-06 00:10:53
285,Riverstone 285,41,3.56,0,2024-08-25 17:13:19
286,Amberfield 286,42,4.70,1,2025-05-06 21:10:38
287,Cedar Grove 287,12,3.80,1,2024-08-14 07:19:16
288,Silverline 288,47,4.44,1,2024-05-28 23:20:21
289,Elm & Ivy 289,17,4.44,1,2025-10-22 11:30:37
290,Meadow Lane 290,40,4.88,1,2025-05-13 21:19:47
291,Brighton 291,30,4.25,1,2024-10-05 21:34:40
292,Eastwood 292,49,4.32,1,2024-10-08 21:43:55
293,Maplecrest 293,17,3.59,1,2024-12-05 05:13:17
294,Harborview 294,31,4.76,1,2024-06-25 05:43:48
295,Violet Lane 295,37,3.65,1,2025-06-25 15:25:48
296,Rainier 296,20,4.45,1,2025-12-07 20:03:19
297,Granite Goods 297,7,4.54,1,2024-05-20 20:07:07
298,Wellspring 298,25,4.86,1,2024-09-29 01:02:07
299,Heritage Shop 299,36,4.66,1,2025-03-11 01:35:25
300,Canyon Market 300,23,3.75,1,2025-01-12 11:09:19
301,Sunrise Market 301,45,4.25,1,2025-10-11 10:06:39
302,Lotus Mart 302,26,3.54,1,2024-01-07 08:23:10
303,Saigon Select 303,39,4.21,1,2024-07-16 11:53:15
304,Urban Thread 304,15,3.62,1,2025-03-29 14:39:09
305,Golden Leaf 305,28,4.19,0,2024-12-28 00:39:05
306,Bamboo House 306,14,4.23,0,2025-07-27 05:39:03
307,Coastal Goods 307,11,4.47,1,2024-09-19 18:38:31
308,Metro Outlet 308,23,4.69,1,2025-08-19 19:26:48
309,Aurora Supply 309,25,4.27,1,2024-02-20 12:00:47
310,Cedar & Co 310,2,3.55,1,2024-05-29 05:44:22
311,Amber Street 311,13,3.54,1,2024-10-09 02:25:34
312,Nova Essentials 312,12,3.94,1,2025-11-10 11:20:52
313,Lantern & Pine 313,5,4.11,1,2024-06-24 06:58:33
314,Velvet Road 314,36,4.52,1,2024-06-08 04:07:53
315,Craftline 315,16,3.96,1,2024-11-20 21:06:43
316,Evergreen Shop 316,15,4.44,1,2024-10-23 01:48:47
317,Maple & Oak 317,45,3.43,1,2024-02-04 13:38:29
318,City Harbor 318,3,3.77,1,2024-03-22 09:33:32
319,Bloom Bazaar 319,25,3.92,1,2024-01-10 21:56:00
320,Northgate Store 320,11,4.83,1,2024-05-23 09:03:01
321,Seaside Pantry 321,42,3.50,1,2024-08-20 07:07:57
322,Willow & Co 322,39,4.58,1,2024-08-21 09:09:06
323,Harbor Lane 323,38,4.64,1,2024-01-06 16:16:41
324,Citrine Corner 324,4,4.14,1,2024-10-14 15:51:36
325,Pinecrest 325,9,4.21,1,2025-07-19 02:58:46
326,Pearl Market 326,30,3.87,1,2024-10-23 20:42:24
327,Cobalt & Co 327,15,4.50,1,2024-03-24 03:21:13
328,Orchid Avenue 328,16,4.13,1,2024-06-25 10:34:11
329,Monarch Market 329,29,4.89,1,2025-08-15 09:46:20
330,Crescent Store 330,26,4.43,1,2024-12-24 02:31:42
331,Timberline 331,22,4.84,1,2024-06-28 15:09:36
332,Skyline Goods 332,7,4.68,1,2024-04-12 19:38:53
333,Copper & Co 333,15,3.60,1,2026-01-09 11:53:55
334,Slate Market 334,25,4.65,1,2025-11-05 07:50:23
335,Riverstone 335,15,4.42,1,2024-07-12 08:50:48
336,Amberfield 336,31,4.53,1,2025-04-07 18:00:58
337,Cedar Grove 337,28,3.81,1,2024-08-23 06:56:01
338,Silverline 338,20,3.44,1,2024-09-11 20:46:56
339,Elm & Ivy 339,1,4.77,1,2025-02-19 00:10:33
340,Meadow Lane 340,37,4.41,1,2024-06-16 16:00:07
341,Brighton 341,27,3.92,1,2025-06-12 11:13:33
342,Eastwood 342,22,4.19,1,2025-07-31 05:17:17
343,Maplecrest 343,3,4.45,1,2024-01-08 03:30:58
344,Harborview 344,30,4.70,1,2025-12-09 18:34:32
345,Violet Lane 345,25,4.43,1,2024-04-27 18:29:40
346,Rainier 346,19,3.48,1,2025-11-21 01:43:42
347,Granite Goods 347,13,4.38,1,2025-01-31 19:26:02
348,Wellspring 348,43,4.20,1,2024-11-09 12:37:40
349,Heritage Shop 349,43,4.51,1,2024-05-07 01:42:26
350,Canyon Market 350,32,4.59,1,2024-07-04 09:58:13
351,Sunrise Market 351,18,3.45,0,2025-06-08 11:33:17
352,Lotus Mart 352,40,3.51,1,2024-10-11 21:14:35
353,Saigon Select 353,23,3.45,1,2025-10-05 10:35:01
354,Urban Thread 354,32,4.56,1,2025-12-20 07:20:38
355,Golden Leaf 355,3,3.66,1,2024-09-19 13:37:12
356,Bamboo House 356,37,4.43,1,2025-08-16 00:48:13
357,Coastal Goods 357,21,3.70,1,2024-05-02 00:42:45
358,Metro Outlet 358,16,3.57,1,2024-01-22 14:02:57
359,Aurora Supply 359,8,4.59,1,2024-01-22 07:21:44
360,Cedar & Co 360,25,4.06,1,2026-01-04 14:27:03
361,Amber Street 361,44,4.70,0,2025-02-07 19:22:58
362,Nova Essentials 362,2,4.49,1,2025-12-24 22:07:49
363,Lantern & Pine 363,9,4.51,1,2024-06-21 02:36:22
364,Velvet Road 364,43,3.54,1,2025-03-04 02:09:42
365,Craftline 365,17,4.16,1,2024-12-31 19:33:20
366,Evergreen Shop 366,47,4.48,1,2024-12-19 10:31:32
367,Maple & Oak 367,48,4.57,1,2025-07-20 23:21:22
368,City Harbor 368,36,4.03,1,2026-01-21 14:08:04
369,Bloom Bazaar 369,35,4.69,0,2025-03-02 09:13:44
370,Northgate Store 370,29,4.78,1,2025-09-24 16:12:31
371,Seaside Pantry 371,26,4.74,1,2024-09-19 21:52:48
372,Willow & Co 372,38,4.19,1,2024-02-16 06:41:00
373,Harbor Lane 373,50,4.21,1,2024-10-19 06:51:02
374,Citrine Corner 374,21,4.75,1,2025-04-17 01:29:09
375,Pinecrest 375,38,3.77,0,2025-05-25 11:33:58
376,Pearl Market 376,39,4.07,1,2025-02-28 08:10:49
377,Cobalt & Co 377,34,4.04,1,2024-09-26 13:44:53
378,Orchid Avenue 378,33,3.61,1,2024-11-16 07:41:58
379,Monarch Market 379,36,3.68,1,2024-05-24 06:09:42
380,Crescent Store 380,35,4.08,1,2025-05-29 05:00:44
381,Timberline 381,38,3.71,1,2024-03-02 16:20:24
382,Skyline Goods 382,6,4.13,1,2025-07-12 14:46:14
383,Copper & Co 383,31,4.34,0,2025-04-21 22:08:08
384,Slate Market 384,26,4.74,1,2024-04-24 02:27:59
385,Riverstone 385,3,4.16,1,2026-01-16 11:29:06
386,Amberfield 386,18,3.44,1,2024-02-12 08:50:41
387,Cedar Grove 387,5,4.72,1,2024-06-30 20:32:56
388,Silverline 388,9,4.19,1,2024-04-26 01:19:00
389,Elm & Ivy 389,7,4.61,1,2024-08-31 23:35:27
390,Meadow Lane 390,24,3.59,1,2026-01-27 14:18:05
391,Brighton 391,24,3.98,0,2025-09-27 00:41:13
392,Eastwood 392,29,3.81,0,2025-07-02 22:33:02
393,Maplecrest 393,40,4.62,1,2025-08-03 01:14:08
394,Harborview 394,10,4.11,1,2025-10-25 16:41:26
395,Violet Lane 395,29,3.66,1,2025-07-09 10:08:21
396,Rainier 396,13,3.88,1,2024-10-27 17:41:02
397,Granite Goods 397,46,4.76,1,2024-09-07 21:38:01
398,Wellspring 398,27,4.45,1,2024-09-12 11:54:01
399,Heritage Shop 399,32,4.29,1,2024-03-17 19:14:14
400,Canyon Market 400,20,4.15,1,2024-03-12 21:33:26
401,Sunrise Market 401,26,4.07,1,2025-09-12 05:34:41
402,Lotus Mart 402,12,4.60,1,2024-07-10 03:55:52
403,Saigon Select 403,37,3.96,0,2024-02-08 22:05:03
404,Urban Thread 404,27,4.83,1,2024-08-20 04:55:50
405,Golden Leaf 405,49,3.43,1,2024-07-09 00:19:45
406,Bamboo House 406,6,4.15,1,2024-08-02 07:51:11
407,Coastal Goods 407,21,4.25,1,2024-05-30 14:43:46
408,Metro Outlet 408,41,4.53,1,2024-02-16 11:55:28
409,Aurora Supply 409,7,4.36,1,2024-09-12 12:14:14
410,Cedar & Co 410,7,4.71,1,2024-10-07 09:10:06
411,Amber Street 411,19,4.82,1,2024-07-08 22:28:25
412,Nova Essentials 412,45,4.46,1,2026-01-26 05:51:00
413,Lantern & Pine 413,29,4.78,1,2024-09-17 09:46:11
414,Velvet Road 414,45,3.68,1,2024-10-14 04:05:31
415,Craftline 415,47,4.00,1,2024-07-09 19:38:00
416,Evergreen Shop 416,23,4.23,1,2025-07-27 21:55:11
417,Maple & Oak 417,45,3.75,1,2024-06-10 09:22:36
418,City Harbor 418,27,4.54,1,2025-12-28 04:44:34
419,Bloom Bazaar 419,44,3.83,1,2024-06-09 06:19:29
420,Northgate Store 420,27,4.71,1,2025-11-08 23:06:33
421,Seaside Pantry 421,35,3.98,1,2025-01-10 02:20:37
422,Willow & Co 422,5,4.23,1,2025-06-25 05:39:38
423,Harbor Lane 423,2,4.41,1,2025-05-14 16:20:04
424,Citrine Corner 424,47,4.85,1,2025-04-17 15:38:35
425,Pinecrest 425,10,4.20,1,2024-02-04 01:28:58
426,Pearl Market 426,7,3.55,1,2025-05-01 15:40:44
427,Cobalt & Co 427,33,3.69,1,2025-01-13 05:03:18
428,Orchid Avenue 428,20,4.24,1,2026-01-21 23:53:11
429,Monarch Market 429,38,4.21,1,2025-09-08 07:27:13
430,Crescent Store 430,49,3.92,1,2025-12-24 20:43:57
431,Timberline 431,45,4.39,1,2024-05-04 08:04:17
432,Skyline Goods 432,42,4.48,1,2025-06-23 21:46:15
